Module,6hrs.ATACSeq_REPLICANT.1,6hrs.ATACSeq_REPLICANT.2,48hrs.ATACSeq_REPLICANT.1,48hrs.ATACSeq_REPLICANT.2
Module_19414,6,12,8,12
Module_19415,29,49,51,53
Module_14386,8,5,13,8
Module_14387,6,11,13,19
Module_14388,3,2,10,4
Module_14389,26,38,48,44
Module_14390,25,19,14,13
Module_19416,11,3,2,0
Module_19417,15,27,12,29
Module_14391,2,3,12,7
Module_14392,6,18,26,33
Module_14393,4,4,18,28
Module_19418,8,14,14,12
Module_14394,79,67,89,106
Module_37075,8,13,5,16
Module_19419,10,21,17,16
Module_29123,16,18,33,26
Module_29124,80,119,99,87
Module_29125,1,0,2,4
Module_33277,32,33,21,32
Module_29126,11,9,6,10
Module_29127,5,6,13,9
Module_27429,0,7,2,4
Module_29128,4,8,1,8
Module_37076,14,12,14,18
Module_37077,1,1,4,8
Module_12851,19,22,29,25
Module_33278,12,17,33,22
Module_3775,14,10,25,39
Module_33279,24,20,32,32
Module_12852,45,24,48,39
Module_33280,9,8,20,20
Module_12853,42,21,50,38
Module_27430,17,13,6,2
Module_29129,6,10,6,7
Module_29130,6,6,10,14
Module_33281,9,8,8,4
Module_12854,6,7,10,10
Module_33282,12,4,31,33
Module_29131,12,6,4,4
Module_12855,34,32,44,52
Module_19420,24,32,25,22
Module_29132,8,4,12,21
Module_33283,8,4,31,29
Module_29133,8,12,7,6
Module_29134,8,3,4,1
Module_29135,12,3,6,8
Module_14395,32,18,48,38
Module_33284,2,0,21,11
Module_14396,2,4,2,6
Module_3776,82,99,112,114
Module_14397,4,2,19,16
Module_14398,10,12,14,12
Module_29136,0,0,7,8
Module_33285,5,1,13,19
Module_7573,4,10,10,8
Module_29137,34,41,69,43
Module_33286,21,36,38,39
Module_33287,41,51,62,55
Module_33288,19,32,43,55
Module_16497,0,2,10,14
Module_14399,0,6,19,22
Module_29138,2,0,14,16
Module_12856,20,24,24,33
Module_27431,5,4,10,19
Module_33289,7,10,14,12
Module_7574,20,16,28,25
Module_5454,32,77,44,63
Module_7575,9,12,25,34
Module_7576,34,42,45,42
Module_7577,10,16,23,16
Module_37078,67,94,79,83
Module_12857,12,32,40,40
Module_35464,8,7,10,8
Module_7578,8,2,17,13
Module_31171,14,10,6,10
Module_33290,14,14,32,32
Module_37079,1,0,2,3
Module_31172,9,4,13,8
Module_35465,2,15,19,12
Module_14400,0,0,13,13
Module_12858,70,114,96,91
Module_14401,9,16,14,22
Module_14402,4,16,16,13
Module_25040,8,10,0,2
Module_14403,54,72,108,107
Module_31173,3,2,12,16
Module_14404,38,51,79,97
Module_31174,5,7,13,21
Module_14405,19,21,49,64
Module_31175,3,10,12,14
Module_25041,13,26,12,26
Module_31176,4,0,6,2
Module_22221,46,58,45,45
Module_7579,38,41,28,37
Module_7580,21,12,20,17
Module_5455,20,16,11,10
Module_7581,6,8,29,14
Module_7582,10,25,29,10
Module_25042,0,0,6,4
Module_22222,46,42,56,48
Module_7583,32,28,34,43
Module_17284,42,44,55,34
Module_5456,10,8,12,23
Module_5457,6,22,24,16
Module_25043,7,2,4,14
Module_14406,4,7,38,30
Module_14407,22,9,25,33
Module_17285,8,18,26,28
Module_7584,6,11,18,15
Module_22223,15,20,15,24
Module_7585,9,8,36,23
Module_17286,4,5,27,31
Module_22224,20,13,6,18
Module_22225,26,29,41,27
Module_5458,2,6,10,12
Module_22226,0,1,23,32
Module_5459,0,0,14,12
Module_19421,18,20,22,26
Module_12859,47,78,66,71
Module_5460,11,17,22,22
Module_7586,8,11,6,8
Module_19422,26,28,30,45
Module_17287,26,53,26,23
Module_19423,18,24,13,20
Module_17288,28,58,25,23
Module_19424,15,21,12,19
Module_17289,108,140,59,62
Module_22227,86,94,88,85
Module_5461,18,24,19,22
Module_17290,21,28,82,48
Module_5462,6,4,7,2
Module_5463,5,6,9,11
Module_7587,33,59,48,69
Module_5464,4,10,11,20
Module_27432,63,43,38,60
Module_5465,14,5,26,35
Module_5466,2,8,9,10
Module_16498,11,22,59,45
Module_22228,71,90,142,100
Module_16499,12,23,57,44
Module_22229,70,88,136,99
Module_16500,12,22,56,43
Module_22230,69,87,138,97
Module_16501,12,22,57,43
Module_5467,31,32,24,25
Module_29139,0,2,2,2
Module_5468,22,14,19,30
Module_5469,5,8,10,6
Module_22231,157,172,160,206
