Sample,Condition,Time,Batch
0hrs.ATACSeq_REPLICANT.1,case,1,B_NULL
0hrs.ATACSeq_REPLICANT.2,case,1,B_NULL
3hrs.ATACSeq_REPLICANT.1,case,2,B_NULL
3hrs.ATACSeq_REPLICANT.2,case,2,B_NULL
6hrs.ATACSeq_REPLICANT.1,case,3,B_NULL
6hrs.ATACSeq_REPLICANT.2,case,3,B_NULL
12hrs.ATACSeq_REPLICANT.1,case,4,B_NULL
12hrs.ATACSeq_REPLICANT.2,case,4,B_NULL
24hrs.ATACSeq_REPLICANT.1,case,5,B_NULL
24hrs.ATACSeq_REPLICANT.2,case,5,B_NULL
48hrs.ATACSeq_REPLICANT.1,case,6,B_NULL
48hrs.ATACSeq_REPLICANT.2,case,6,B_NULL
72hrs.ATACSeq_REPLICANT.1,case,7,B_NULL
72hrs.ATACSeq_REPLICANT.2,case,7,B_NULL
