Module,3hrs.ATACSeq_REPLICANT.1,3hrs.ATACSeq_REPLICANT.2,48hrs.ATACSeq_REPLICANT.1,48hrs.ATACSeq_REPLICANT.2
Module_19414,22,14,8,12
Module_19415,89,97,51,53
Module_14386,6,1,13,8
Module_14387,9,14,13,19
Module_14388,4,3,10,4
Module_14389,57,42,48,44
Module_14390,35,33,14,13
Module_19416,7,0,2,0
Module_19417,39,22,12,29
Module_14391,5,8,12,7
Module_14392,20,15,26,33
Module_14393,8,4,18,28
Module_19418,18,20,14,12
Module_14394,75,90,89,106
Module_37075,16,19,5,16
Module_19419,18,22,17,16
Module_29123,23,10,33,26
Module_29124,111,105,99,87
Module_29125,3,2,2,4
Module_33277,35,40,21,32
Module_29126,6,8,6,10
Module_29127,4,0,13,9
Module_27429,9,12,2,4
Module_29128,8,1,1,8
Module_37076,17,19,14,18
Module_37077,8,8,4,8
Module_12851,18,18,29,25
Module_33278,18,6,33,22
Module_3775,48,8,25,39
Module_33279,22,18,32,32
Module_12852,40,31,48,39
Module_33280,13,11,20,20
Module_12853,38,29,50,38
Module_27430,6,14,6,2
Module_29129,2,4,6,7
Module_29130,2,7,10,14
Module_33281,8,9,8,4
Module_12854,8,4,10,10
Module_33282,11,16,31,33
Module_29131,5,11,4,4
Module_12855,22,32,44,52
Module_19420,28,39,25,22
Module_29132,0,2,12,21
Module_33283,8,6,31,29
Module_29133,8,8,7,6
Module_29134,4,0,4,1
Module_29135,9,4,6,8
Module_14395,24,31,48,38
Module_33284,10,2,21,11
Module_14396,5,2,2,6
Module_3776,137,122,112,114
Module_14397,11,22,19,16
Module_14398,5,15,14,12
Module_29136,3,6,7,8
Module_33285,6,2,13,19
Module_7573,23,16,10,8
Module_29137,36,55,69,43
Module_33286,50,28,38,39
Module_33287,72,52,62,55
Module_33288,36,28,43,55
Module_16497,0,2,10,14
Module_14399,2,2,19,22
Module_29138,1,4,14,16
Module_12856,25,24,24,33
Module_27431,3,0,10,19
Module_33289,14,8,14,12
Module_7574,26,12,28,25
Module_5454,64,42,44,63
Module_7575,20,27,25,34
Module_7576,30,18,45,42
Module_7577,16,14,23,16
Module_37078,122,111,79,83
Module_12857,32,23,40,40
Module_35464,26,16,10,8
Module_7578,12,2,17,13
Module_31171,13,3,6,10
Module_33290,21,7,32,32
