"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"Module_19415","Module_19415",5.23303569898563e-05,0.000531635756439214,-51.0726156400815,-64.6687213383247,7,2,40.2342771572837,0,0,FALSE
"Module_14390","Module_14390",0.000216868030537454,0.00181072662328255,-40.0484944743488,-52.0497698910926,7,2,14.9122728137076,0,0,FALSE
"Module_19416","Module_19416",0.000438939563044002,0.00331435591667565,-28.4749841626399,-39.6762099042021,7,2,4.54714935571685,0,0,FALSE
"Module_14393","Module_14393",4.44280138219125e-06,6.05523447692627e-05,-35.3867294536546,-51.7051561649115,7,2,10.9587497914725,0,0,FALSE
"Module_19419","Module_19419",0.000662001758155756,0.00467347935912834,-40.3097334278444,-51.0413811404167,7,2,16.3354971236984,0,0,FALSE
"Module_33277","Module_33277",1.07319621537326e-10,3.75721328931678e-09,-45.3706776627449,-73.0773486702379,7,2,30.5605275559782,0,0,FALSE
"Module_29132","Module_29132",7.45640561152117e-05,0.000721854408830373,-32.2894592013965,-45.4904104044694,7,2,7.2841204068622,0,0,FALSE
"Module_29136","Module_29136",0.000525855636432925,0.00386199813542977,-32.0350040506134,-43.0300897948035,7,2,6.61725682805164,0,0,FALSE
"Module_16497","Module_16497",8.04624807121904e-05,0.000770392374780856,-25.360306443767,-38.4761279548276,7,2,4.05335425305629,0,0,FALSE
"Module_12858","Module_12858",0.00117174298502227,0.00753482579779297,-53.4653897463078,-63.5399135474549,7,2,73.4961040115478,0,0,FALSE
"Module_25040","Module_25040",0.000201776245681931,0.00170487165317948,-34.9729433778629,-47.055692384896,7,2,7.63305173422713,0,0,FALSE
"Module_14406","Module_14406",1.43628457572221e-05,0.000170528614872167,-36.3014242032229,-51.3306594867321,7,2,13.0949225834865,0,0,FALSE
"Module_17286","Module_17286",1.26893320508231e-06,1.98788014668556e-05,-36.3936367155012,-54.0789505227986,7,2,10.9805171729081,0,0,FALSE
"Module_22226","Module_22226",8.02123334461978e-06,0.000102326639951754,-35.4582401135458,-51.1287625797008,7,2,7.93918290683901,0,0,FALSE
"Module_5459","Module_5459",0.000286907027601939,0.00229782451527385,-29.6914477651848,-41.3759640813606,7,2,6.75679319491291,0,0,FALSE
"Module_17289","Module_17289",1.25772591199744e-18,1.5344637255433e-16,-52.8684326892108,-99.5995138841216,7,2,69.0044439651622,0,0,FALSE
"Module_16498","Module_16498",7.73486308173083e-08,1.56725376212161e-06,-43.0133219782095,-63.720855243425,7,2,25.8830715718709,0,0,FALSE
"Module_16499","Module_16499",1.17837578879218e-06,1.85830738866282e-05,-43.0801137572279,-60.845904698917,7,2,25.4621149992137,0,0,FALSE
"Module_16500","Module_16500",4.76223407240426e-06,6.42965479507271e-05,-43.430891260653,-59.6732981475465,7,2,25.2586815856594,0,0,FALSE
"Module_16501","Module_16501",1.66683737594262e-05,0.000194292239701291,-44.1133688561034,-58.9783115517133,7,2,25.722390250327,0,0,FALSE
"Module_22231","Module_22231",5.26696152373372e-05,0.000534542823057835,-59.6298809123517,-73.2187860434602,7,2,128.019301024759,0,0,FALSE
"Module_16502","Module_16502",2.77824405457353e-09,7.48193203218629e-08,-29.8652240048316,-54.1264755781225,7,2,8.36789247026047,0,0,FALSE
"Module_37082","Module_37082",1.3794252929709e-05,0.000164651769108513,-42.5078750441138,-57.5816581019442,7,2,13.7978233194951,0,0,FALSE
"Module_35466","Module_35466",4.09264669883884e-06,5.63488605968541e-05,-25.3485146107367,-41.7567834128731,7,2,4.56215414486534,0,0,FALSE
"Module_7589","Module_7589",0.000189403166071086,0.00161421694944708,-42.7580371668012,-54.9122117775294,7,2,15.0121954601608,0,0,FALSE
"Module_17293","Module_17293",0.000249845018677297,0.00204409882076136,-44.5680433931671,-56.4092368931906,7,2,22.3047021791416,0,0,FALSE
"Module_17294","Module_17294",0.000865653255039608,0.00588022029714015,-51.7192282673877,-62.1428990298623,7,2,40.85440607266,0,0,FALSE
"Module_12872","Module_12872",1.30829461486917e-08,3.10573405007357e-07,-45.1791841401451,-67.7896566947511,7,2,40.524774003438,0,0,FALSE
"Module_12873","Module_12873",0.000685610373626134,0.00481818105298687,-43.723786999522,-54.415266803029,7,2,23.1042737365107,0,0,FALSE
"Module_7590","Module_7590",0.0012653941007419,0.00801668479779221,-36.1470472846278,-46.1326325126492,7,2,8.34906497377163,0,0,FALSE
"Module_5487","Module_5487",0.000407147663762911,0.00310399017056591,-37.4238101850629,-48.7106802335457,7,2,9.29133988481527,0,0,FALSE
"Module_17298","Module_17298",0.000159155866546258,0.00139208653986941,-58.1344034841353,-70.4847113615254,7,2,99.4099766189024,0,0,FALSE
"Module_35475","Module_35475",1.67000733057222e-05,0.000194549088935672,-49.9080094349367,-64.7708541700057,7,2,56.5848756449018,0,0,FALSE
"Module_29161","Module_29161",0.000823907203410366,0.00563658928062952,-37.5388410447401,-48.0193566406448,7,2,15.6940416187007,0,0,FALSE
"Module_17302","Module_17302",0.000221612290017295,0.00184536347639841,-55.5772693737837,-67.554088168945,7,2,43.0908179093289,0,0,FALSE
"Module_12878","Module_12878",9.07766875787314e-09,2.22173873471569e-07,-49.7639527937878,-72.764474010972,7,2,34.1151214971999,0,0,FALSE
"Module_31179","Module_31179",1.2178762332993e-09,3.5275478438031e-08,-48.3034556989018,-73.4405029273069,7,2,42.8167308740413,0,0,FALSE
"Module_33294","Module_33294",2.54995616473168e-05,0.000282213810707406,-44.3636607040111,-58.7584177179626,7,2,26.2411946447406,0,0,FALSE
"Module_33295","Module_33295",4.94653798686309e-05,0.000505591687964191,-43.9783139454865,-57.6371405374732,7,2,25.1763868590668,0,0,FALSE
"Module_22247","Module_22247",0.000186949807566972,0.00159601064513441,-44.1043884153507,-56.2732724967313,7,2,17.2508516960575,0,0,FALSE
"Module_17308","Module_17308",0.000645174600902256,0.00457071522205274,-47.4901948445914,-58.2513439569375,7,2,25.0530784176371,0,0,FALSE
"Module_17309","Module_17309",0.00075621315939219,0.00523755341653002,-46.1311855654849,-56.7102046500573,7,2,23.1926943357743,0,0,FALSE
"Module_14408","Module_14408",3.17746985632711e-05,0.000342053780442742,-30.7767224293177,-44.9275637812224,7,2,5.68192628996548,0,0,FALSE
"Module_33301","Module_33301",2.50786125773861e-06,3.63983425010145e-05,-47.0637626208672,-64.0071355135945,7,2,27.7782129046194,0,0,FALSE
"Module_7594","Module_7594",8.82841092494521e-09,2.16732105030012e-07,-49.0710791385674,-72.1012959460157,7,2,43.9630884831678,0,0,FALSE
"Module_19429","Module_19429",1.20637716355977e-06,1.89800511848691e-05,-39.342431325607,-57.0826988012469,7,2,14.8635122822794,0,0,FALSE
