Module,6hrs.H3K27ac_REPLICANT.1,6hrs.H3K27ac_REPLICANT.2,24hrs.H3K27ac_REPLICANT.1,24hrs.H3K27ac_REPLICANT.2
Module_19414,6,10,5,12
Module_19415,3,7,7,14
Module_14386,4,2,2,9
Module_14387,12,10,12,16
Module_14388,6,5,11,13
Module_14389,25,44,42,65
Module_14390,8,13,11,22
Module_19416,7,9,6,10
Module_19417,15,19,21,28
Module_14391,4,11,12,19
Module_14392,17,15,17,14
Module_14393,8,18,15,27
Module_19418,8,12,10,22
Module_14394,42,61,42,78
Module_37075,8,14,9,20
Module_19419,23,15,14,29
Module_29123,22,18,29,42
Module_29124,68,75,64,123
Module_29125,12,14,18,27
Module_33277,19,41,19,41
Module_29126,10,13,21,22
Module_29127,9,11,7,19
Module_27429,2,4,1,4
Module_29128,10,5,10,13
Module_37076,14,12,20,28
Module_37077,3,4,13,11
Module_12851,8,15,17,23
Module_33278,24,22,29,43
Module_3775,12,14,13,20
Module_33279,26,40,31,64
Module_12852,26,28,34,66
Module_33280,11,10,17,28
Module_12853,21,25,24,49
Module_27430,10,23,11,24
Module_29129,10,8,13,15
Module_29130,18,23,18,27
Module_33281,11,13,5,23
Module_12854,6,6,7,8
Module_33282,31,23,39,71
Module_29131,9,4,11,13
Module_12855,6,7,7,9
Module_19420,29,60,19,58
Module_29132,4,7,5,16
Module_33283,9,14,21,18
Module_29133,10,10,10,22
Module_29134,4,7,14,17
Module_29135,14,14,16,18
Module_14395,13,17,20,31
Module_33284,10,10,16,23
Module_14396,11,6,11,14
Module_3776,102,167,97,228
Module_14397,9,8,11,19
Module_14398,8,9,8,11
Module_29136,7,7,8,14
Module_33285,12,13,18,16
Module_7573,5,10,7,21
Module_29137,10,14,13,22
Module_33286,15,19,24,44
Module_33287,17,51,31,63
Module_33288,36,76,48,83
Module_16497,4,1,5,3
Module_14399,3,4,8,7
Module_29138,7,8,12,23
Module_12856,12,22,24,47
Module_27431,3,6,8,23
Module_33289,13,18,18,25
Module_7574,9,10,21,24
Module_5454,56,108,63,113
Module_7575,10,11,22,25
Module_7576,13,15,17,39
Module_7577,12,19,28,30
Module_37078,23,50,32,49
Module_12857,8,2,6,14
Module_35464,5,12,13,27
Module_7578,19,18,17,24
Module_31171,6,12,11,11
Module_33290,16,12,16,30
Module_37079,3,5,5,5
Module_31172,3,9,11,14
Module_35465,3,9,11,10
Module_14400,8,9,13,19
Module_12858,34,35,24,40
Module_14401,12,13,9,13
Module_14402,9,5,14,9
Module_25040,4,4,3,7
Module_14403,37,69,54,120
Module_31173,8,13,8,21
Module_14404,5,22,10,37
Module_31174,9,12,13,28
Module_14405,5,11,10,27
Module_31175,5,4,14,17
Module_25041,12,21,19,37
Module_31176,2,4,6,8
Module_22221,12,35,12,22
Module_7579,25,45,39,65
Module_7580,10,14,12,26
Module_5455,10,18,15,23
Module_7581,8,13,16,22
Module_7582,11,19,23,18
Module_25042,6,7,4,6
Module_22222,27,43,42,51
Module_7583,10,18,17,27
Module_17284,18,27,20,34
Module_5456,22,28,37,51
Module_5457,24,26,18,28
Module_25043,8,9,8,4
Module_14406,11,14,24,18
Module_14407,24,39,10,35
Module_17285,10,15,9,9
Module_7584,9,19,10,21
Module_22223,46,54,52,84
Module_7585,17,20,14,24
Module_17286,10,16,16,35
Module_22224,17,27,30,44
Module_22225,35,68,50,94
Module_5458,15,15,10,12
Module_22226,14,15,17,15
Module_5459,14,22,29,48
Module_19421,23,21,17,26
Module_12859,40,74,37,103
Module_5460,32,35,23,52
Module_7586,9,10,18,23
Module_19422,24,65,41,71
Module_17287,45,76,54,81
Module_19423,7,41,18,44
Module_17288,46,76,55,81
Module_19424,7,34,15,32
Module_17289,62,103,68,105
Module_22227,37,50,42,60
Module_5461,26,38,41,44
Module_17290,19,25,15,35
Module_5462,17,11,20,31
Module_5463,21,26,34,45
Module_7587,14,15,26,41
Module_5464,13,21,24,37
Module_27432,22,40,21,33
Module_5465,17,17,28,49
Module_5466,19,21,28,43
Module_16498,15,15,14,39
Module_22228,40,66,36,68
Module_16499,10,14,10,26
Module_22229,38,66,35,67
Module_16500,11,15,13,34
Module_22230,39,66,35,68
Module_16501,11,15,13,34
Module_5467,34,42,32,54
Module_29139,8,12,26,51
Module_5468,36,49,33,48
Module_5469,15,41,32,56
Module_22231,87,146,92,195
Module_19425,14,20,20,35
Module_22232,10,10,2,14
Module_16502,5,5,13,9
Module_5470,13,25,24,34
Module_5471,24,42,35,62
Module_29140,6,9,32,26
Module_19426,18,5,19,19
Module_29141,12,17,40,48
Module_19427,24,16,24,28
Module_12860,5,6,8,16
Module_29142,28,59,55,137
Module_5472,13,32,24,53
Module_37080,9,17,15,24
Module_5473,11,33,26,53
Module_37081,9,13,13,26
Module_22233,51,85,69,98
Module_12861,8,4,3,7
Module_7588,9,13,15,20
Module_5474,13,15,13,22
Module_27433,23,45,55,78
Module_37082,7,4,7,7
Module_5475,24,33,49,76
Module_35466,2,7,5,7
Module_22234,15,13,10,17
Module_7589,13,7,11,8
Module_29143,15,31,30,57
Module_17291,5,2,8,6
Module_5476,7,11,16,29
Module_22235,18,36,20,22
Module_5477,50,78,63,107
Module_22236,16,33,27,51
Module_5478,14,14,17,22
Module_5479,6,25,21,44
Module_29144,30,52,51,95
Module_16503,4,8,12,24
Module_22237,16,18,17,29
Module_5480,5,9,10,20
Module_31177,30,28,29,58
Module_5481,10,20,19,30
Module_29145,15,20,33,49
Module_29146,26,36,52,57
Module_22238,18,11,19,37
Module_5482,27,51,38,84
Module_31178,8,4,0,10
Module_12862,6,9,13,15
Module_5483,12,4,19,18
Module_12863,9,12,14,13
Module_12864,7,10,17,23
Module_17292,4,6,15,38
Module_12865,4,8,17,19
Module_17293,6,7,18,38
Module_12866,8,12,18,28
Module_12867,4,10,4,22
Module_22239,10,9,15,23
Module_29147,31,38,36,62
Module_5484,36,79,62,100
Module_17294,15,25,28,34
Module_35467,13,11,11,18
Module_12868,10,9,12,7
Module_12869,14,18,19,28
Module_35468,5,11,10,12
Module_12870,12,19,23,31
Module_35469,7,11,11,13
Module_12871,12,17,25,32
Module_29148,12,7,15,18
Module_5485,12,29,24,57
Module_29149,11,12,25,41
Module_12872,51,77,51,71
Module_29150,4,4,15,20
Module_35470,11,12,9,22
Module_12873,11,10,4,14
Module_12874,30,45,30,52
Module_5486,31,43,41,54
Module_7590,8,9,10,16
Module_29151,12,10,21,26
Module_12875,8,7,11,17
Module_5487,8,18,17,29
Module_16504,3,8,12,10
Module_17295,15,40,38,54
Module_17296,7,19,20,40
Module_16505,5,3,9,13
Module_12876,4,9,19,12
Module_29152,5,7,6,7
Module_19428,17,34,31,52
Module_37083,43,61,52,87
Module_17297,10,12,14,15
Module_12877,21,45,26,60
Module_16506,7,9,10,18
Module_35471,2,11,7,19
Module_35472,7,10,9,16
Module_29153,18,20,32,42
Module_35473,15,20,21,33
Module_17298,87,137,64,132
Module_29154,5,8,10,14
Module_17299,41,58,37,70
Module_29155,19,17,37,50
Module_29156,11,9,20,28
Module_29157,3,6,11,21
Module_35474,47,83,53,96
Module_29158,6,6,15,13
