Sample,Condition,Time,Batch
0hrs.H3K27ac_REPLICANT.1,case,1,B_NULL
0hrs.H3K27ac_REPLICANT.2,case,1,B_NULL
3hrs.H3K27ac_REPLICANT.1,case,2,B_NULL
3hrs.H3K27ac_REPLICANT.2,case,2,B_NULL
6hrs.H3K27ac_REPLICANT.1,case,3,B_NULL
6hrs.H3K27ac_REPLICANT.2,case,3,B_NULL
12hrs.H3K27ac_REPLICANT.1,case,4,B_NULL
12hrs.H3K27ac_REPLICANT.2,case,4,B_NULL
24hrs.H3K27ac_REPLICANT.1,case,5,B_NULL
24hrs.H3K27ac_REPLICANT.2,case,5,B_NULL
48hrs.H3K27ac_REPLICANT.1,case,6,B_NULL
48hrs.H3K27ac_REPLICANT.2,case,6,B_NULL
72hrs.H3K27ac_REPLICANT.1,case,7,B_NULL
72hrs.H3K27ac_REPLICANT.2,case,7,B_NULL
