Gene,6hrs.RNASeq_REPLICANT.1,6hrs.RNASeq_REPLICANT.2,6hrs.RNASeq_REPLICANT.3,12hrs.RNASeq_REPLICANT.1,12hrs.RNASeq_REPLICANT.2,12hrs.RNASeq_REPLICANT.3
DDX11L1,53,65,48,44,77,47
WASH7P,1856,1627,1852,1532,1630,1644
LOC100996442,82,91,116,283,240,239
LOC101929017,149,147,170,236,246,186
MMACHC,1434,1360,1452,1332,1353,1408
FGA,0,1,0,1,3,1
FGG,2,3,5,16,21,18
LOC101927965,39,43,47,54,53,47
LRAT,22496,21524,25154,27726,29107,30256
RBM46,133,120,190,141,150,137
NPY2R,27,40,41,76,81,89
MAP9,4316,4053,4742,3147,3484,3582
PRDX1,100486,99970,104263,72842,79817,88348
GUCY1A3,2,2,0,6,7,11
GUCY1B3,669,657,715,283,282,360
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,0,1,2,8,6,7
CTSO_variant1,130,122,120,170,183,193
LOC100505784,0,0,0,0,0,0
PDGFC,581,525,652,273,277,291
GLRB,119,114,116,41,49,34
GRIA2,1,2,1,6,4,3
LOC340017,0,0,0,0,1,1
FAM198B,2,4,5,24,28,24
LOC101928007,0,0,0,0,0,0
AKR1A1,19106,18408,19432,13244,13845,15003
TMEM144,1240,1195,1309,771,883,876
RXFP1,381,264,363,153,159,143
C4orf46,5951,5744,6727,4560,4967,5262
ETFDH,2055,2060,2290,1032,985,1095
PPID,10160,10368,11077,8392,9091,9798
FNIP2,3300,3184,3540,2306,2315,2498
LOC101928028,0,0,0,0,0,0
C4orf45,2,0,1,1,3,1
NASP,109387,104532,103912,64763,66989,67189
PSME2P3,1,0,0,0,1,1
FABP5P12,0,0,0,0,0,0
RAPGEF2,9133,8905,10651,9183,9397,9718
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,145,172,185,53,61,74
LOC101928052,0,0,0,1,1,0
CCDC17,221,188,258,164,154,112
MIR4454,0,0,0,0,0,0
LOC101928081,37,20,37,106,124,92
NAF1,899,833,869,885,847,827
NPY1R,870,808,838,1317,1369,1624
NPY5R,125,125,131,276,307,298
TKTL2,0,1,3,4,3,3
TMA16,6028,6193,6740,5084,5654,6027
MARCH1,554,473,854,1049,1164,1084
GPBP1L1,22188,21391,23213,13166,13841,14438
ANP32C,0,1,0,0,2,0
LOC100505989,45,38,48,109,100,82
LOC100506013,25612,25695,28336,4529,5172,5406
RPL26P16,15,3,8,0,1,0
LOC101059914,7,2,0,1,2,1
RPS15AP10,86,77,82,85,89,70
NACA3P,1,3,0,2,1,0
TRIM61,1335,1299,1481,1333,1427,1556
FAM218A,446,393,506,434,483,505
RPL21P51,20,21,19,11,11,18
TRIM60,3,3,2,5,8,1
RPL7AP16,85,91,124,86,100,89
TMEM192,2508,2418,2595,1924,1932,2162
KLHL2,2304,2175,2211,1903,2145,2085
GK3P,16,24,24,73,55,59
MSMO1,11530,11462,12826,14294,15575,17185
CPE,4555,4462,4790,1823,1981,2106
MIR578,0,0,0,0,0,0
HADHAP1,9,12,6,68,80,44
LOC402191,0,0,0,0,0,0
TMEM69,4003,3650,4241,2241,2417,2594
LOC101928151,62,59,66,94,117,103
LOC101928131,16,22,18,25,32,28
TLL1,96,108,104,129,110,129
SPOCK3,72,79,63,48,62,39
ANXA10,1,0,2,1,7,4
DDX60,2099,2020,2234,1293,1441,1543
DDX60L,451,456,464,133,164,154
LOC100506504,190,161,199,224,218,169
IPP,1238,1159,1328,572,560,627
PALLD,11744,11172,11885,6394,6425,6384
RPL9P16,4,3,2,2,5,4
LOC101928172,57,55,63,107,129,90
CBR4,6975,6554,7416,4341,4723,4948
SH3RF1,2831,2769,2882,3514,3442,3440
