"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC100996442",145.880223473471,1.33737849620351,0.310053323527518,4.31338223047563,1.60775800362706e-05,6.93765842526591e-05
"LOC101929017",154.787827413799,0.52816834905553,0.224173477179348,2.35606975321605,0.0184694491974414,0.0406793498710032
"MMACHC",1248.27536146649,-0.303146282582009,0.0946586282358338,-3.20252139959969,0.00136230178179232,0.00402184385005371
"FGG",9.56262358713045,1.8175486440587,0.721114521067778,2.52047156305686,0.0117197707616665,0.0273482186309899
"LRAT",15230.0108249246,1.82938753842958,0.171622161381688,10.6593899278603,1.57628013116671e-26,5.96165977458578e-25
"RBM46",79.9931301872565,1.4515018968198,0.246725293286142,5.88306888802197,4.02728201291869e-09,2.93371488489713e-08
"NPY2R",114.031468944046,-1.25579810584497,0.215615970473547,-5.82423511155933,5.73747585130678e-09,4.09418029030087e-08
"MAP9",3433.92983464446,-0.550298675867079,0.161838236391833,-3.40030074558356,0.000673117741225597,0.00212738647021861
"PRDX1",77149.2162305683,-0.430607018824252,0.127795075782876,-3.36951182341214,0.000753014605488103,0.00235350737059899
"TDO2_variant1",3.12208928835547,3.73040307725778,1.528393166301,2.44073525026683,0.01465739585345,0.033178197194829
"CTSO_variant1",114.919876203367,0.890189192592679,0.212757785367299,4.1840499094117,2.86361197999074e-05,0.000118514558653967
"PDGFC",277.900288610856,-0.504209754487364,0.139106546409109,-3.62462995094779,0.000289375489764847,0.000984748323388295
"FAM198B",10.7969630059665,4.70260767054027,1.1488738417859,4.09323243292767,4.25400905624682e-05,0.000171192349707092
"RXFP1",88.2568801227993,1.26133984577106,0.241678088856661,5.2190906165232,1.79803780811952e-07,1.04101106584521e-06
"C4orf46",4571.08773979552,-0.339911674033929,0.0849329282380105,-4.00211886114868,6.27777453426814e-05,0.00024470623221768
"ETFDH",1233.89829963196,-0.928598237798697,0.0993330844591918,-9.34832782908483,8.9044304404992e-21,2.19967127092822e-19
"FNIP2",2236.28216025426,-0.380380516753399,0.160755236546974,-2.36620918188409,0.0179712871684992,0.0397424431898721
