Gene,0hrs.RNASeq_REPLICANT.1,0hrs.RNASeq_REPLICANT.2,0hrs.RNASeq_REPLICANT.3,3hrs.RNASeq_REPLICANT.1,3hrs.RNASeq_REPLICANT.2,3hrs.RNASeq_REPLICANT.3,6hrs.RNASeq_REPLICANT.1,6hrs.RNASeq_REPLICANT.2,6hrs.RNASeq_REPLICANT.3,12hrs.RNASeq_REPLICANT.1,12hrs.RNASeq_REPLICANT.2,12hrs.RNASeq_REPLICANT.3,24hrs.RNASeq_REPLICANT.1,24hrs.RNASeq_REPLICANT.2,24hrs.RNASeq_REPLICANT.3,48hrs.RNASeq_REPLICANT.1,48hrs.RNASeq_REPLICANT.2,48hrs.RNASeq_REPLICANT.3,72hrs.RNASeq_REPLICANT.1,72hrs.RNASeq_REPLICANT.2,72hrs.RNASeq_REPLICANT.3
DDX11L1,22,23,32,31,28,21,53,65,48,44,77,47,67,65,54,56,95,64,109,119,84
WASH7P,1686,1772,1403,947,1572,1112,1856,1627,1852,1532,1630,1644,2719,1715,1987,1813,2390,1855,3004,2444,2379
LOC100996442,115,124,130,82,74,45,82,91,116,283,240,239,129,92,121,128,245,160,128,65,96
LOC101929017,118,171,119,89,141,90,149,147,170,236,246,186,201,165,166,153,265,195,203,158,162
MMACHC,1746,1784,1512,943,1417,1112,1434,1360,1452,1332,1353,1408,1791,1246,1240,1232,2054,1491,1884,1587,1540
FGA,0,0,0,0,0,0,0,1,0,1,3,1,0,0,2,1,1,0,1,0,0
FGG,4,2,0,2,7,2,2,3,5,16,21,18,0,0,0,24,28,21,1,1,1
LOC101927965,44,44,39,6,17,31,39,43,47,54,53,47,30,15,23,50,53,47,28,18,23
LRAT,24852,22451,14291,3772,5977,7179,22496,21524,25154,27726,29107,30256,9775,5905,7210,35323,53138,31433,6589,5666,5478
RBM46,101,112,79,31,38,38,133,120,190,141,150,137,85,57,59,135,214,144,92,79,59
NPY2R,40,30,22,125,151,123,27,40,41,76,81,89,29,17,14,65,82,40,125,107,126
MAP9,4148,3950,2290,2666,3339,4178,4316,4053,4742,3147,3484,3582,4377,3378,3496,5817,8637,5356,4606,4573,4085
PRDX1,145380,134284,70966,64217,92595,65435,100486,99970,104263,72842,79817,88348,76783,62449,54241,121580,160911,74597,67445,55866,61016
GUCY1A3,2,1,0,3,0,1,2,2,0,6,7,11,2,1,1,5,4,2,28,16,18
GUCY1B3,454,440,315,137,207,252,669,657,715,283,282,360,411,287,370,660,822,749,390,363,367
ASIC5_variant1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDO2_variant1,0,2,1,1,0,0,0,1,2,8,6,7,0,1,0,7,9,2,4,2,2
CTSO_variant1,67,63,34,63,80,58,130,122,120,170,183,193,314,266,242,284,438,286,287,256,223
LOC100505784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFC,262,272,146,232,323,262,581,525,652,273,277,291,413,307,313,501,830,421,294,301,279
GLRB,71,77,45,34,51,43,119,114,116,41,49,34,128,100,85,32,55,22,277,214,209
GRIA2,0,1,1,32,3,1,1,2,1,6,4,3,0,1,0,8,6,3,0,3,0
LOC340017,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
FAM198B,2,4,0,1,1,0,2,4,5,24,28,24,3,1,2,28,49,23,1,0,0
LOC101928007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1A1,18982,18252,10949,8083,12644,9071,19106,18408,19432,13244,13845,15003,21965,15696,16337,17007,21056,10675,22790,18424,19729
TMEM144,480,340,201,451,599,570,1240,1195,1309,771,883,876,1112,823,855,1021,1681,854,666,593,582
RXFP1,37,22,22,40,53,37,381,264,363,153,159,143,59,45,43,154,262,137,1,3,5
C4orf46,7558,6561,3807,3483,4992,4349,5951,5744,6727,4560,4967,5262,9513,7234,6821,7145,11151,6389,10321,9331,9184
ETFDH,2372,2099,1464,1116,1552,1387,2055,2060,2290,1032,985,1095,1995,1447,1415,1257,1639,1099,1696,1328,1411
PPID,11060,10067,6208,5245,7514,6816,10160,10368,11077,8392,9091,9798,8501,6519,6219,14082,19920,13610,10540,9269,9583
FNIP2,3180,2828,1972,1488,2251,2644,3300,3184,3540,2306,2315,2498,2900,1629,2219,5320,7874,4854,2549,2018,2067
LOC101928028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4orf45,0,1,1,1,1,1,2,0,1,1,3,1,1,1,2,4,1,1,3,2,2
NASP,120382,119390,96592,10305,22361,61625,109387,104532,103912,64763,66989,67189,73015,27754,67472,92134,114922,116437,130213,106489,114728
PSME2P3,1,2,1,1,0,0,1,0,0,0,1,1,1,1,2,3,2,1,3,0,1
FABP5P12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
RAPGEF2,12833,11535,8879,7792,10918,9787,9133,8905,10651,9183,9397,9718,13649,9437,9719,17145,26359,17914,14364,11861,11823
MIR3688-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
