Sample,Condition,Time,Batch
0hrs.RNASeq_REPLICANT.1,case,1,B_NULL
0hrs.RNASeq_REPLICANT.2,case,1,B_NULL
0hrs.RNASeq_REPLICANT.3,case,1,B_NULL
3hrs.RNASeq_REPLICANT.1,case,2,B_NULL
3hrs.RNASeq_REPLICANT.2,case,2,B_NULL
3hrs.RNASeq_REPLICANT.3,case,2,B_NULL
6hrs.RNASeq_REPLICANT.1,case,3,B_NULL
6hrs.RNASeq_REPLICANT.2,case,3,B_NULL
6hrs.RNASeq_REPLICANT.3,case,3,B_NULL
12hrs.RNASeq_REPLICANT.1,case,4,B_NULL
12hrs.RNASeq_REPLICANT.2,case,4,B_NULL
12hrs.RNASeq_REPLICANT.3,case,4,B_NULL
24hrs.RNASeq_REPLICANT.1,case,5,B_NULL
24hrs.RNASeq_REPLICANT.2,case,5,B_NULL
24hrs.RNASeq_REPLICANT.3,case,5,B_NULL
48hrs.RNASeq_REPLICANT.1,case,6,B_NULL
48hrs.RNASeq_REPLICANT.2,case,6,B_NULL
48hrs.RNASeq_REPLICANT.3,case,6,B_NULL
72hrs.RNASeq_REPLICANT.1,case,7,B_NULL
72hrs.RNASeq_REPLICANT.2,case,7,B_NULL
72hrs.RNASeq_REPLICANT.3,case,7,B_NULL
