"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"DDX11L1","DDX11L1",1.64030851976481e-06,3.27987313543902e-06,-81.5279606292337,-98.934011023014,7,2,55.1545064508725,0,0,FALSE
"WASH7P","WASH7P",2.09879644242729e-08,4.653982433466e-08,-145.194137797481,-167.299565686863,7,2,1803.32881646869,0,0,FALSE
"LOC100996442","LOC100996442",4.54713612996954e-10,1.09068362772402e-09,-101.475283677375,-127.656230046382,7,2,130.032961288711,0,0,FALSE
"LOC101929017","LOC101929017",4.73340610595472e-05,8.69359156439423e-05,-93.031653547346,-106.739521689728,7,2,164.240732154348,0,0,FALSE
"MMACHC","MMACHC",2.7875259523904e-06,5.50565809987359e-06,-130.441698033243,-147.269684481256,7,2,1451.17641842013,0,0,FALSE
"FGG","FGG",7.99533019866367e-09,1.81227875970444e-08,-64.2986086734391,-87.434520469319,7,2,7.09722458979714,0,0,FALSE
"LOC101927965","LOC101927965",0.00503702843006251,0.0080165949070245,-78.647225247269,-87.0132508643923,7,2,34.7010273711801,0,0,FALSE
"LRAT","LRAT",1.06147312452116e-94,1.60589436480865e-93,-397.388307296552,-621.612618129792,7,2,17458.5582470856,0,0,FALSE
"RBM46","RBM46",6.94329392576745e-11,1.72829163989806e-10,-105.78533123994,-133.951245118515,7,2,99.7985268140844,0,0,FALSE
"NPY2R","NPY2R",8.28627926480619e-40,5.11172170597069e-39,-140.483360512038,-237.058452959794,7,2,70.0708079858428,0,0,FALSE
"PRDX1","PRDX1",1.46273869653349e-13,4.08178159051655e-13,-225.595719796597,-260.224349654507,7,2,86466.3818183986,0,0,FALSE
"GUCY1A3","GUCY1A3",5.47943281034237e-08,1.18691560096572e-07,-45.7034924838288,-66.7810922852637,7,2,5.05004771418031,0,0,FALSE
"GUCY1B3","GUCY1B3",7.93249213093001e-10,1.88366934397856e-09,-138.268139057984,-163.859757920638,7,2,415.142387553494,0,0,FALSE
"CTSO_variant1","CTSO_variant1",1.67757171107727e-79,2.07265395192065e-78,-88.9437450380139,-277.916266707395,7,2,175.657112416911,0,0,FALSE
"PDGFC","PDGFC",1.3155684344909e-24,5.46907173945214e-24,-125.499129361448,-186.39038563158,7,2,354.916531333017,0,0,FALSE
"GLRB","GLRB",3.24645509079136e-54,2.66831806836468e-53,-108.846186994428,-239.038554266628,7,2,87.891420230365,0,0,FALSE
"GRIA2","GRIA2",0.00123540351728001,0.002062436239185,-45.9597974455323,-55.9731387410367,7,2,4.3860950014333,0,0,FALSE
"FAM198B","FAM198B",2.4169679515345e-20,8.75629556147544e-20,-59.0529614648189,-109.858861521331,7,2,8.86914978966268,0,0,FALSE
"AKR1A1","AKR1A1",0.00020600683614948,0.000363334418199978,-187.234500064394,-199.293817782773,7,2,15728.709505825,0,0,FALSE
"TMEM144","TMEM144",3.31439937475351e-47,2.4034846781724e-46,-122.777739702477,-236.63180156818,7,2,785.055346898475,0,0,FALSE
"RXFP1","RXFP1",2.41709093392989e-117,4.73041708902208e-116,-158.578727841095,-435.253617436228,7,2,107.489842221301,0,0,FALSE
"C4orf46","C4orf46",1.10360449355153e-14,3.22940603816071e-14,-169.526867543484,-206.849092548103,7,2,6469.37922777266,0,0,FALSE
"ETFDH","ETFDH",2.10179293847172e-67,2.16948613578772e-66,-168.607942412946,-329.483930094915,7,2,1546.65539522653,0,0,FALSE
"PPID","PPID",3.87551621484282e-14,1.10945234151465e-13,-177.835621520409,-213.849668638347,7,2,9319.98470079901,0,0,FALSE
"FNIP2","FNIP2",1.74892689048085e-30,8.55557625945641e-30,-154.234729898837,-228.959316891223,7,2,2847.98247831414,0,0,FALSE
"RAPGEF2","RAPGEF2",4.17595233264871e-34,2.24925683843869e-33,-223.080338941623,-306.304481874232,7,2,11564.24676514,0,0,FALSE
"FSTL5","FSTL5",5.44447307982454e-27,2.41982679525669e-26,-106.160051880889,-172.669038510121,7,2,58.3148096475207,0,0,FALSE
"CCDC17","CCDC17",0.000362247217087725,0.000628127190346562,-102.158220081514,-113.578030623494,7,2,179.730758147589,0,0,FALSE
"LOC101928081","LOC101928081",2.64930417600354e-09,6.15425822550031e-09,-93.9076982116463,-118.219466190947,7,2,56.6640568243245,0,0,FALSE
"NPY1R","NPY1R",1.18791042690174e-48,8.87496477982772e-48,-140.396219078237,-257.62235034148,7,2,1479.68032161418,0,0,FALSE
"NPY5R","NPY5R",3.65410704548493e-13,1.00237050701983e-12,-111.203763456639,-144.876055364371,7,2,215.935673732121,0,0,FALSE
"MARCH1","MARCH1",1.38657320537489e-09,3.25874267723769e-09,-143.146885847122,-168.146291889843,7,2,794.246040964204,0,0,FALSE
"GPBP1L1","GPBP1L1",1.86754102279968e-28,8.63618798122063e-28,-213.096880720534,-283.053127145924,7,2,18465.3411402477,0,0,FALSE
"LOC100505989","LOC100505989",0.000383105113082055,0.000663139265566542,-85.4171659640792,-96.7733089960368,7,2,56.5523468601784,0,0,FALSE
"LOC100506013","LOC100506013",1.45010926363159e-268,8.93307828412413e-267,-464.388615697683,-1090.48675436896,7,2,11530.8771391889,0,0,FALSE
"TRIM61","TRIM61",4.53256631442221e-18,1.51329072005639e-17,-139.207932332918,-184.614838167678,7,2,1504.12157402107,0,0,FALSE
"FAM218A","FAM218A",6.74183993840648e-18,2.23518536920227e-17,-110.837702631818,-155.834243856653,7,2,361.440047180043,0,0,FALSE
"KLHL2","KLHL2",2.31377678158358e-07,4.85188835507636e-07,-149.642041399411,-169.170141137196,7,2,2022.72053720437,0,0,FALSE
"GK3P","GK3P",9.34708940663241e-14,2.63138940396694e-13,-68.3327500660847,-103.428751888429,7,2,25.5986485469847,0,0,FALSE
"MSMO1","MSMO1",5.38643074079104e-78,6.49634278831708e-77,-224.581639825081,-410.05717206188,7,2,16579.8425896035,0,0,FALSE
"CPE","CPE",5.81030949396385e-23,2.29725316310795e-22,-217.337827213412,-274.343900028728,7,2,3302.79656001295,0,0,FALSE
"HADHAP1","HADHAP1",1.57037168743403e-20,5.72212295032781e-20,-72.5527739458482,-123.802674070825,7,2,18.6411105536286,0,0,FALSE
"TMEM69","TMEM69",2.26128599527602e-12,6.00654700681675e-12,-175.271972519584,-207.036754278288,7,2,3683.22810133979,0,0,FALSE
"LOC101928151","LOC101928151",2.93488711747475e-05,5.45659163292911e-05,-85.7391014456512,-99.9780372632725,7,2,64.0173122303289,0,0,FALSE
"TLL1","TLL1",7.19860363173392e-54,5.88687079719672e-53,-133.237873069898,-262.624678342623,7,2,88.1182057525306,0,0,FALSE
"SPOCK3","SPOCK3",1.23188842173692e-07,2.62006563021616e-07,-82.5525681426699,-102.759764815138,7,2,35.7360832151551,0,0,FALSE
"DDX60","DDX60",1.24518762443703e-131,2.78681839398115e-130,-157.625243483936,-467.368375396902,7,2,1670.58943849434,0,0,FALSE
"DDX60L","DDX60L",6.52156472762466e-172,2.05802711849366e-170,-424.970610427497,-827.85715251608,7,2,299.437396986117,0,0,FALSE
