DDX11L1	67	65	54
WASH7P	2719	1715	1987
LOC100996442	129	92	121
LOC101929017	201	165	166
MMACHC	1791	1246	1240
FGA	0	0	2
FGG	0	0	0
LOC101927965	30	15	23
LRAT	9775	5905	7210
RBM46	85	57	59
NPY2R	29	17	14
MAP9	4377	3378	3496
PRDX1	76783	62449	54241
GUCY1A3	2	1	1
GUCY1B3	411	287	370
ASIC5_variant1	0	0	0
TDO2_variant1	0	1	0
CTSO_variant1	314	266	242
LOC100505784	0	0	0
PDGFC	413	307	313
GLRB	128	100	85
GRIA2	0	1	0
LOC340017	0	1	0
FAM198B	3	1	2
LOC101928007	0	0	0
AKR1A1	21965	15696	16337
TMEM144	1112	823	855
RXFP1	59	45	43
C4orf46	9513	7234	6821
ETFDH	1995	1447	1415
PPID	8501	6519	6219
FNIP2	2900	1629	2219
LOC101928028	0	0	0
C4orf45	1	1	2
NASP	73015	27754	67472
PSME2P3	1	1	2
FABP5P12	0	0	0
RAPGEF2	13649	9437	9719
MIR3688-1	0	0	0
MIR3688-2	0	0	0
FSTL5	24	26	21
LOC101928052	0	0	0
CCDC17	306	186	297
MIR4454	0	0	0
LOC101928081	46	30	41
NAF1	2095	1159	1597
NPY1R	1309	1145	994
NPY5R	225	192	182
TKTL2	1	1	0
TMA16	5902	4615	4646
MARCH1	927	854	694
GPBP1L1	25573	18688	18559
ANP32C	0	0	0
LOC100505989	60	38	52
LOC100506013	7577	5659	5414
RPL26P16	5	6	4
LOC101059914	0	1	1
RPS15AP10	78	64	72
NACA3P	0	0	2
TRIM61	1660	1129	1158
FAM218A	375	332	286
RPL21P51	17	28	10
TRIM60	2	0	3
RPL7AP16	141	81	147
TMEM192	2486	1546	1882
KLHL2	1905	1267	1458
GK3P	19	10	13
MSMO1	10432	8504	6982
CPE	3634	2921	2797
MIR578	0	0	0
HADHAP1	5	6	6
LOC402191	0	0	0
TMEM69	5346	4115	3420
LOC101928151	77	43	67
LOC101928131	21	12	14
TLL1	28	24	28
SPOCK3	21	15	30
ANXA10	0	0	0
DDX60	3184	2447	2297
DDX60L	837	643	604
LOC100506504	297	172	214
IPP	1642	933	1448
PALLD	8244	3981	7107
RPL9P16	5	5	2
LOC101928172	54	41	35
CBR4	6557	4636	5130
SH3RF1	3131	1969	2377
RPL6P12	5	3	1
NEK1	4143	2081	3446
CLCN3	13227	7811	10450
RPL6P1	0	0	0
C4orf27	4956	3364	3811
LOC100506085	269	138	194
MFAP3L	1136	890	788
LOC101928198	1	0	0
AADAT	860	535	677
LOC101928223	100	84	68
LOC100506107	0	0	0
MAST2	6156	2626	4848
LOC100506122	0	0	0
LOC101929135	0	0	0
LOC101928288	64	43	49
LOC441052	9	3	2
GALNTL6	8	4	4
LOC101928314	0	0	0
GALNT7	19509	11284	16092
MIR548T	0	0	0
HMGB2	56305	41037	41350
TMA16P2	19	7	9
SAP30	2139	1780	1683
LOC101928383	11	10	7
SCRG1	3	3	9
RPL5P11	3	2	2
LOC101928409	4	0	8
LOC101928439	0	0	0
HAND2	7	2	2
HAND2-AS1	0	0	1
PIK3R3	8556	4584	6477
LOC101928478	4	5	3
LOC101928509	12	6	8
FBXO8	1571	1188	1153
CEP44	4770	3721	3713
MIR4276	0	0	0
HPGD	44	31	33
GLRA3	9	8	11
LOC101928551	6	8	6
ADAM29	3	1	4
LOC101929626	1	8	6
TSEN2P1	0	0	0
GPM6A	584	514	428
LOC101928590	0	0	0
WDR17	818	594	571
SPATA4	4	8	5
ASB5	10	9	9
TSPAN1	11	8	10
SPCS3	25532	19399	18869
VEGFC	87	54	54
NEIL3	1157	833	805
AGA	1590	1238	1144
LOC285500	10	2	6
LOC285501	0	0	0
LOC101928656	0	0	0
RPL19P8	1	0	2
POMGNT1	8138	5706	5812
LINC00290	0	0	0
LOC101928679	0	0	0
LOC101928703	53	39	40
MGC45800	2704	1962	1928
TENM3	24311	12555	19404
MIR1305	0	0	0
DCTD	6791	4512	5112
LURAP1	343	200	240
FAM92A1P2	17	8	9
WWC2-AS2	346	218	247
WWC2	20360	12511	15438
LOC101928734	4	1	3
CLDN22	0	0	0
CLDN24	11	5	9
CDKN2AIP	4114	2986	3292
RAD54L	3297	1869	2491
VTI1BP2	15	10	14
LOC389247	43	26	23
ING2	2002	1276	1835
RWDD4	4394	3780	3079
TRAPPC11	14187	10747	10166
LOC101928783	515	224	366
LOC101929169	50	46	51
STOX2	1536	1039	998
ENPP6	36	23	21
C1orf86	3337	1505	2770
LRRC41	10802	7773	6972
LOC391722	6	0	0
LOC728175	14	12	11
IRF2	2689	1911	1821
CASP3	9538	7457	6898
CCDC111	1065	855	781
MLF1IP	18899	16563	13928
