Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AASS	11363.0375626056	3.65997404204999	0.0778808670816897	46.9945209805	0	0
ACTA2	3414.27765784493	-6.81720475259388	0.118561696865514	-57.4992171403107	0	0
ACTC1	4394.51718262518	-4.25270434859847	0.0557361259402964	-76.300680695926	0	0
ACTN3	987.844593753976	4.04368185369063	0.100599003518134	40.1960428262266	0	0
ADAM19	2345.86093898858	-2.53834710356703	0.054371610816921	-46.6851554594198	0	0
AHCY	8771.71506014761	1.13350910828457	0.0298513361739108	37.9718047353347	0	0
AHNAK	7578.48168180209	-4.53127486984231	0.0444674397629168	-101.90096155752	0	0
AK4	3143.70781601097	2.48242697778629	0.0519470680735678	47.7876244001039	0	0
AKAP1	2372.5754352915	2.29984401296386	0.0539230694047133	42.6504655308593	0	0
AKAP12	8359.8046608821	-1.21592595262418	0.0309549781796565	-39.2804655059742	0	0
ALDOA	27258.839169235	1.2773303111376	0.0217530187883322	58.7196804069665	0	0
ALDOC	1480.83728561928	2.84710983478099	0.0723534882303749	39.3500010077709	0	0
AMOTL1	3225.31455759164	-2.37377408535492	0.0459962631750281	-51.6079768550344	0	0
AMOTL2	2625.07442571176	-2.9179577810696	0.0530881667466694	-54.9643726631917	0	0
ANXA2	8646.95194761937	-2.19867700225601	0.0327505343968226	-67.1340801837213	0	0
AP1M2	1603.69989151789	3.12475049769978	0.0696268775030461	44.8785097042888	0	0
APCDD1	1890.57258195845	-5.53759600694698	0.110890563854198	-49.937486242995	0	0
ATCAY	1245.81004752056	3.69930048749793	0.0850459383254378	43.4976738494217	0	0
ATP2B1	2949.19001872099	-2.09304879100116	0.0471539170782073	-44.3875911205791	0	0
BAMBI	2071.23559061716	-3.84025056394891	0.0685957374358493	-55.9838075586011	0	0
BCAM	2101.83724498569	2.15760724416252	0.0541632694081651	39.835247534693	0	0
BEND4	1153.47158536409	3.3607236779561	0.0832119600780623	40.3875076948477	0	0
BMP4	971.143658957006	-4.48937677808536	0.118317098941119	-37.9436008680328	0	0
BMP7	2359.15116983274	-3.89080632493166	0.0698409355938524	-55.7095389952671	0	0
BNIP3_variant1	3748.01610635909	3.18594105447942	0.047766083240951	66.6988130135828	0	0
BOC	1354.4166137916	-3.37971115788911	0.0787847513798761	-42.8980367227812	0	0
CALD1	9696.17878238302	-2.04728680522559	0.0328805547139215	-62.2643633307917	0	0
CBS	7975.74528257565	1.3892927591374	0.0316957787403223	43.8321068089103	0	0
CCDC80	2115.26409337425	-4.87331290115885	0.084937809776881	-57.3750714076607	0	0
CCND1	6190.72260173348	-2.62530725710026	0.0388658368038679	-67.5479411481241	0	0
CD24	42221.6487967083	2.176509303892	0.0223710266950489	97.2914356395497	0	0
CD9	2581.1200328764	2.13188875435444	0.0506352887344037	42.102826065371	0	0
CDH1	7301.67590459011	2.52717451435363	0.0335428683219262	75.3416341768742	0	0
CDH11	2867.71434996153	-5.19836186879801	0.0827270303019772	-62.8375254112532	0	0
CDH2	6464.04810950573	-3.42223373580927	0.0425713490865663	-80.3881908663586	0	0
CDH3	3307.87523423895	1.77127516003636	0.0447085611762532	39.6182546124335	0	0
CDH6	5239.93151369192	-7.96822731644146	0.134296728426039	-59.3329964908995	0	0
CDK6	3510.02665337073	-2.53455531374176	0.0479962040895634	-52.8074117905688	0	0
CHD3	2684.96076282257	-2.03682924438289	0.0484344769924105	-42.0532928372914	0	0
CHGA	900.61595787705	4.11542719097236	0.108737268088231	37.8474396435365	0	0
CLDN6	10206.0115764731	1.32516416037541	0.0322976840630778	41.0296960545948	0	0
CLIC6	979.214388649934	-4.11379584376843	0.105389696619458	-39.0341368817347	0	0
CNTNAP2	9828.0385441726	-2.25138638466962	0.0305035497796424	-73.8073568792364	0	0
COL11A1	4402.27181306279	-2.81555664237154	0.0433691345642166	-64.9207476852589	0	0
COL12A1	957.964909395049	-3.72961159915272	0.0984669502116822	-37.8767859787967	0	0
COL1A1	12942.4555383129	-2.10965512925017	0.0327969514234388	-64.3247325647005	0	0
COL1A2	16624.8747347321	-2.27818096223543	0.0312692573425558	-72.8568938263509	0	0
COL2A1	9127.70932494202	-4.93551485142836	0.0459588226440023	-107.389932280444	0	0
COL4A1	8458.84876073171	-1.71646894063248	0.0297985921706206	-57.602350164878	0	0
COL4A2	8190.95901307592	-1.51375749054046	0.0340533869920575	-44.4524795989756	0	0
COL5A1	5205.2336470439	-3.34157351893525	0.0415988910909975	-80.3284277849032	0	0
COL5A2	4845.96070862756	-3.00185082958965	0.0445915089313371	-67.3188887644946	0	0
COL6A3	2476.09974067659	-5.4324974941149	0.0922057171720686	-58.9171437599374	0	0
COL9A2	1208.96077197321	-4.03726246048249	0.0955093933808699	-42.2708418258171	0	0
COLEC12	1509.26533529748	-6.00127760491292	0.135742728092197	-44.2106747761604	0	0
CPE	2439.75167332332	-3.32602183332122	0.0617062778684137	-53.9008663010567	0	0
CRB2	1936.19767330642	-2.44211167449736	0.058976942634074	-41.4079056225344	0	0
CST1	7802.64837195973	-7.96485405190173	0.156357114904909	-50.9401446601626	0	0
CTGF	5032.06688926728	-3.59077185512099	0.0490498593479498	-73.2065678241559	0	0
CTNNB1	15313.4182673881	-1.05480251835461	0.0253658288899654	-41.5836014241932	0	0
CTSC	4989.45706173146	1.86632264890782	0.0375788109872318	49.6642283211659	0	0
