Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AASS	11388.9783049817	2.84142253390466	0.0319438487259977	88.9505381232335	0	0
AKAP1	2310.25821726131	2.09575985491937	0.0533758778403267	39.2641758733938	0	0
AMOTL1	2451.05379999259	-1.98154035857115	0.0506696119415124	-39.1070758714006	0	0
APOE	18038.4252927257	1.45145494361569	0.032647305354568	44.4586445298341	0	0
CCDC80	1098.77176445661	-3.96000344940589	0.102727730640174	-38.5485343122847	0	0
CD24	44617.6195551184	1.47506319844456	0.0281099523152699	52.4747670113718	0	0
CDH2	3514.53340116316	-2.51406275549561	0.0487718619726126	-51.5474015920769	0	0
CDH6	1286.07076862139	-6.0013835322723	0.144722105911939	-41.4683264485112	0	0
CLU	3926.68458490768	1.97565848822958	0.0470915983013241	41.9535237599704	0	0
CNTFR	1008.59489607004	-5.72576777966888	0.151779675310953	-37.7242062742485	0	0
CNTNAP2	6083.58542360554	-1.46351941552561	0.0364304993119849	-40.1729167363935	0	0
COL2A1	7882.67523316086	-4.79491073953268	0.0505797225397995	-94.7990716192587	0	0
COL5A2	3475.36694614861	-2.53743230099436	0.0542071773671512	-46.8098953724901	0	0
COTL1	6552.79367541857	-1.36360577170939	0.0349793030802935	-38.9832172636286	0	0
CPE	2234.94701002208	-3.26895002875317	0.0625790641508703	-52.2371191245709	0	0
CTGF	2633.45606841805	-2.62955885296674	0.0676098300193043	-38.8931439735307	0	0
CYP2S1	3662.04874770846	2.07222627915295	0.0443973428244865	46.6745563432696	0	0
DNMT3B	23617.9641710577	1.54383120125947	0.0375433518384307	41.1212938019867	0	0
DPYSL5	2674.06433951808	-2.49377576356629	0.0540435381759228	-46.1438286192244	0	0
DUSP4	1456.78672625596	-2.77956346410246	0.0723614562439691	-38.4122101513694	0	0
DUSP6	5583.61257789956	-3.41946949838782	0.0480112484657183	-71.222257443054	0	0
EFNB1	1389.92613995791	-3.56715046065757	0.0823955568661632	-43.2929953547346	0	0
EFNB2	3125.7957804287	-3.19992562472691	0.0518204706876252	-61.7502230733513	0	0
ENC1	1746.73312872257	-3.25779041350768	0.0674262914025126	-48.3163221014152	0	0
FABP7	1928.86988114997	-3.11435465948374	0.0644004619466517	-48.3591975173037	0	0
FGF2	2594.38534317838	3.21809665519681	0.0577113767012826	55.7619110674462	0	0
GPC4	6957.31605781571	1.31621949297295	0.0339611906006405	38.7565768365061	0	0
GPR176	4500.41000815939	2.62243404871531	0.0444337858201515	59.0189199572094	0	0
H2AFY2	2528.82526344872	-3.27554460461924	0.0565439933170701	-57.9291346872451	0	0
HAPLN3	1483.74849071079	3.29533345247004	0.0790647668619607	41.6789119004596	0	0
HMGCS1	13085.1317739251	-1.22124619217834	0.0309542926992086	-39.4532094157513	0	0
IGDCC3	4557.04125481267	-2.21888752793744	0.0412379960499923	-53.806870858795	0	0
IGFBP5	12905.6080365364	-5.15223909682716	0.102043882884887	-50.490425796902	0	0
IGFBPL1	5411.44871832302	-1.70524681736839	0.0385161718764437	-44.2735280868166	0	0
IL17RD	4373.01196429128	-1.90814737583052	0.0409472079373458	-46.6001828195517	0	0
IRX3	4806.77543953093	-6.95943113267352	0.100784627298729	-69.0525065101997	0	0
ITGA6	3756.84400813133	1.63206906054545	0.0412460523021677	39.5690973911625	0	0
KIF1A	8296.26694796531	1.2951663880764	0.0338168438685459	38.2994460722301	0	0
LIN28A	46358.420494905	1.10009414420109	0.0267539393601017	41.118959320124	0	0
LRRN1	4727.11880234745	1.47088360809734	0.0391953773505345	37.5269663803167	0	0
MDK	11919.0206881901	-1.25043896964516	0.0296089295933762	-42.2318194820825	0	0
MEIS3	1733.67162577545	-2.50822889057944	0.0619487425265608	-40.4887781136803	0	0
MFGE8	18131.2037475155	2.64333466279261	0.0300776889311821	87.8835694072296	0	0
MN1	1690.82203784704	-3.06529094558166	0.07087331784693	-43.250281469847	0	0
NCALD	1023.86812261658	-4.24273074086924	0.110386820432964	-38.4351204630065	0	0
NEFM	6769.79159504638	-2.54247812768206	0.0398963778548456	-63.7270415106936	0	0
NPTX1	4841.69378213267	7.00923862989026	0.172917982095424	40.5350475696752	0	0
NTS	1680.83381151455	-2.79868515051072	0.0732938260794237	-38.1844597316829	0	0
ODC1	4607.05283590182	-2.06798072360471	0.040468964950687	-51.1004105522496	0	0
PCDH10	2211.03667916902	-3.06346965537222	0.0603330181889481	-50.7760053670478	0	0
PCDHGC3	3122.96778885661	-2.00950178486242	0.050567101154198	-39.7393115087752	0	0
PEG10	8710.70052292445	-1.35911257688192	0.0331826424700025	-40.9585396374194	0	0
PODXL	26621.8035998047	1.70791591968947	0.0275503963975483	61.9924263536713	0	0
PREX1	3121.63780162266	-2.53285167597937	0.0524731389101886	-48.2694904208897	0	0
PRTG	9233.74276595546	-5.90085416849469	0.0604711163106087	-97.581366584752	0	0
PTN	4398.74576910354	-3.05055511691309	0.0437339497459195	-69.7525637322003	0	0
PTX3	2413.4715587517	-6.19424908336908	0.110950722146848	-55.8288307053174	0	0
RARRES2	2782.14336714728	2.20160379451031	0.0556380560596895	39.5701063342039	0	0
RHOB	2732.44842572685	-3.35360928461833	0.056380403223952	-59.4818251174482	0	0
SDC3	3291.40973734832	-1.97832335432216	0.0476561226904258	-41.5124698073603	0	0
