Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AASS	11776.672586614	2.93999779124385	0.0533658540260185	55.0913659099404	0	0
AMOT	1702.11820529619	-3.31647572978446	0.0816562612085526	-40.6150818161277	0	0
AP1M2	1463.08365666749	5.18332240492963	0.113939760920986	45.4917788402603	0	0
APCDD1	1404.47840178493	-5.11196782614387	0.131651698637456	-38.829486281231	0	0
ATP2B1	4252.58834618109	-2.73895156627684	0.0634280634232114	-43.1820146864917	0	0
BCAM	1918.75362228172	2.94914385180202	0.0698665787953116	42.2110815021033	0	0
BMP7	3148.8446966645	-4.34727223013038	0.0772964411788623	-56.2415573580016	0	0
BOC	1405.62452957506	-3.45471946550706	0.0859950542005603	-40.1734669234566	0	0
CD24	41210.8016722387	2.28900394066527	0.0387113299635223	59.1300774946819	0	0
CD9	2263.59070443189	3.49494486384843	0.07416148000888	47.1261477444887	0	0
CDH1	6416.27699851262	4.56962917063192	0.0660537155484782	69.1805015461723	0	0
CDH11	1291.49478401915	-4.01422979409781	0.101219486689705	-39.65866579035	0	0
CDH2	7140.40087197789	-3.59463550787065	0.0546024519275532	-65.8328587998213	0	0
CDH3	2735.79681310888	3.63369345164284	0.0718283680163253	50.5885564714066	0	0
CDH6	2842.92804833828	-7.09723160997778	0.141253026256156	-50.2448110181178	0	0
CGNL1	2696.11464539303	4.0652410378793	0.0727517087895438	55.87828939715	0	0
CLDN6	8124.84601226995	2.99639738054568	0.0480672846655336	62.3375628849331	0	0
CLDN7	1054.12712307592	4.77812784800245	0.12182995586875	39.219646875273	0	0
CNTNAP2	11698.1412551333	-2.5687110508995	0.0668723840770786	-38.4121350891086	0	0
COBL	999.782824242715	5.0736011146375	0.13188849280945	38.4688687129645	0	0
COL2A1	12225.0733857123	-5.3855992790538	0.0588579148051685	-91.5017002705791	0	0
COL4A6	4134.67780540719	-3.37817304286241	0.0699953141635898	-48.2628456380252	0	0
CPE	2384.126429773	-3.30532246958318	0.076152226863985	-43.4041472679033	0	0
CRABP1	2742.29157252048	2.36308388365061	0.0620073331119241	38.1097487193202	0	0
CYP2S1	3287.8469828493	3.92481996548318	0.065400895792146	60.0117157103911	0	0
DLK1	3044.8894360021	-6.71480331497766	0.128101600018567	-52.4177942664607	0	0
DMRTA1	1345.00138685718	-4.40330876224648	0.100136628556952	-43.9730079362731	0	0
DNMT3B	21431.2047554322	2.56559765469049	0.0454533840257992	56.444590643334	0	0
DPPA4	8631.8207517498	2.5586986137052	0.050463333887692	50.7041135926468	0	0
DPYSL5	5847.7879728803	-3.69085165864637	0.0525008785777497	-70.3007598850086	0	0
DUSP6	3956.40018092611	-2.79813088431964	0.0689903275139416	-40.5583070141853	0	0
EFNB1	1335.17846091956	-3.43970982563166	0.0895036922393959	-38.4309265860391	0	0
EFNB2	2225.7749359269	-2.57479028744773	0.0650206292366422	-39.5995904327039	0	0
ENC1	1777.23567951126	-3.21947203915866	0.0752561252642459	-42.7801993240307	0	0
EPCAM	2838.69290914771	4.02086069049578	0.0714691956044239	56.2600524112642	0	0
EPHA1	1713.21735924822	2.95215999338284	0.075293650771388	39.2086180326998	0	0
EPHA7	3259.89130344409	-4.51109224547309	0.0833939120215303	-54.093783780145	0	0
ESRP1	2156.98555352148	4.67891973386829	0.0921779052504656	50.7596665508371	0	0
F11R	4159.53099151403	2.69524694011648	0.0538537560788665	50.0475201055503	0	0
FAM181B	1596.1446381432	-6.21976919781441	0.143653650890695	-43.2969796399188	0	0
FAM46B	2095.09849428592	3.62277811362162	0.0731115201184633	49.5513991194766	0	0
FBN2	6689.51253269246	-2.99384060410782	0.0710079072790742	-42.1620734764296	0	0
FGF2	2792.53416183729	2.80137189332724	0.0686369942924265	40.8143148196736	0	0
FLT1	1723.53895399569	3.80945963026107	0.0836736311137073	45.5276002673321	0	0
FOXP4	2289.90370030469	-2.58525124697256	0.0670793460091832	-38.5401975537841	0	0
FST	2631.3592474972	-3.85178465478282	0.0852984963547997	-45.1565363914657	0	0
GABRB3	3163.50453638644	2.95983000395174	0.0666715715987793	44.3941838024099	0	0
GPC3	8543.8239107933	-2.45601996333536	0.0489401220543972	-50.1841814085685	0	0
GPR176	4089.6985513758	6.24489534755625	0.0949195335294541	65.7914668914637	0	0
H2AFY2	3570.96287059041	-3.75132463405097	0.0647458998215213	-57.9391844795096	0	0
HAPLN3	1508.07465081068	3.7526112348069	0.0907185551268951	41.3654211044018	0	0
IGDCC3	7602.34412369435	-3.00925121707708	0.0488003462937597	-61.6645463735549	0	0
IL17RD	10505.7156687586	-3.31525366883737	0.0573220940039442	-57.8355296756823	0	0
ILDR2	1150.99179478997	-5.45140507955627	0.142505460109362	-38.2540084806065	0	0
LECT1	1789.9491447963	4.66293121936484	0.0968443384929042	48.1487229086344	0	0
LINC00678	2494.7299498115	4.53814227870568	0.0971641037724776	46.705955208853	0	0
MAL2	2015.61483023675	2.8242986963101	0.06770565187548	41.7143712241981	0	0
MAP2	3201.48748415347	-3.6906012121493	0.084976742447189	-43.4307212287282	0	0
MAP7	1485.9748024369	3.75527685112838	0.08745524748023	42.9394114055568	0	0
MFGE8	17718.2155409539	3.51734922209755	0.0534472070542421	65.8097853182092	0	0
NPTX1	5033.24060142627	7.68729719395004	0.196133356456047	39.1942366808613	0	0
NRP1	1308.19991657084	-5.36025024196555	0.128682044140957	-41.6549976164039	0	0
ODC1	8225.74867866947	-2.98063543495848	0.0559987674416443	-53.2268042875152	0	0
OTX1	1139.03925156156	-5.01883259872475	0.12392444291462	-40.499133832561	0	0
PCDH1	2415.31481692539	2.38815429006975	0.0615466327526787	38.8023549503739	0	0
PDLIM1	3044.34165466428	3.34445808425026	0.0625672117452954	53.4538457277784	0	0
PEG10	15676.8774681848	-2.3662327998616	0.0578471838955623	-40.9048918290235	0	0
PFKP	2413.21414121964	2.68325196478615	0.0628112077184465	42.7193181321067	0	0
PHC1	17511.895359535	3.17227558791765	0.0558505169183653	56.7993952957402	0	0
PHC2	2421.30977480769	-2.7477017467453	0.064218994441874	-42.7864336809618	0	0
PLA2G16	1386.82919125361	3.82681787496908	0.0900252644668033	42.5082658477523	0	0
PMAIP1	1645.1331430754	3.51359087691355	0.0798414863379651	44.0070825089689	0	0
PODXL	23134.2563203713	3.49639780054998	0.0452601313483497	77.2511633614043	0	0
POU5F1_variant2	13462.3074975442	3.41046742724641	0.045597093917309	74.7957190743633	0	0
POU5F1_variant6	6102.77243053416	3.36571130117877	0.056284309509588	59.7983937353878	0	0
POU5F1_variant7	6087.82013352022	3.37311952301757	0.0558065336425674	60.4430933593171	0	0
PRSS8	1397.05043198769	3.56668454126616	0.090375456027751	39.4651899755943	0	0
PRTG	6423.07758396156	-5.30415225292226	0.0920790382374778	-57.6043402977615	0	0
RABGAP1L	1932.34015876877	3.39495563731142	0.0726915013390852	46.7036114920081	0	0
RAI1	1464.00055937776	-5.05482856862382	0.111385798863244	-45.3812660160566	0	0
