Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AASS	11495.38627039	3.09337456527541	0.0322287164476376	95.9819349399548	0	0
AK4	2977.26478206596	2.80947391197084	0.0536052361540423	52.410438112751	0	0
ALDOA	25286.4030757404	1.5529104971104	0.0222718664616026	69.7252069011668	0	0
ALDOC	1432.76205901953	2.97714844743655	0.0746644285769337	39.8737190410413	0	0
AMOT	1358.6073486236	-2.97481289789126	0.077015814249143	-38.6260007362626	0	0
AMOTL2	1813.17251856244	-2.33644461632511	0.0604183216366841	-38.6711274499636	0	0
AP1M2	1447.13604672419	5.10332217938757	0.107095193562308	47.6522055718442	0	0
AP1S2	4314.82863664297	1.71443794351346	0.0431402469547759	39.7410322038887	0	0
APC2	1462.57962637762	-3.99443506534012	0.0876922426542898	-45.550609089648	0	0
APCDD1	1113.23723570007	-4.7845493752173	0.120565045759557	-39.6843823603661	0	0
APLP1	2284.0590145072	-3.18285555757963	0.0597377626410984	-53.2804614177144	0	0
APOE	15178.6173626038	3.10614707568068	0.034331639526677	90.4747666730885	0	0
ARHGAP21	2396.40463356611	-2.15651573498349	0.0552643328384012	-39.0218360418712	0	0
ARNT2	1988.98959570413	-2.41008468921201	0.0607280575041947	-39.6865104576338	0	0
ASS1	1196.10564733174	3.34887454139796	0.0823143112995472	40.6839890722183	0	0
ATP2B1	2534.14139529658	-1.86056417896566	0.0495579882571958	-37.5431740552041	0	0
BCAM	1801.60901265492	3.75481195773975	0.0733944623665493	51.1593359589901	0	0
BEND4	1142.02891382177	3.15850884764407	0.0804405209914541	39.2651465792921	0	0
BMP7	2410.81906680981	-3.95888064242564	0.067209362670356	-58.9037075361492	0	0
BNIP3_variant1	3565.08572469162	3.6423201741677	0.0543084775068684	67.0672488232993	0	0
BOC	1121.98133977102	-3.1154961292207	0.0820008371348438	-37.9934673605528	0	0
CBS	7715.13559006002	1.44276830253334	0.0319393763657515	45.1720874575503	0	0
CCND1	4906.508773937	-2.26725076882835	0.0397528002184745	-57.0337374063696	0	0
CD24	40530.6987873545	2.32488327215539	0.0236388713904273	98.3500114602281	0	0
CD9	2187.71291788409	3.93303431372199	0.0714552274726792	55.0419395869361	0	0
CDH1	6366.17144726679	4.41378302650703	0.0458293678914906	96.3090531154056	0	0
CDH11	1350.70077650157	-4.10154953555845	0.0921890093331879	-44.4906563724391	0	0
CDH2	8231.13362937437	-3.83496026884221	0.0428980396786741	-89.3970982722709	0	0
CDH3	2677.55506651117	3.81701433732298	0.0627092835913128	60.868409248607	0	0
CDH6	2358.73403960089	-6.84376035093114	0.139859583906053	-48.9330810216644	0	0
CDK6	3855.2580746811	-2.73071295534523	0.0457697837178779	-59.6619152097632	0	0
CELSR2	4347.90484998646	-1.69817426408634	0.0435416737037915	-39.0011251207017	0	0
CGN	1434.76606945575	2.91456883570965	0.0694822053080002	41.9469822926601	0	0
CGNL1	2699.3305122237	3.7519422228426	0.0621149756431105	60.403182710718	0	0
CHD7	5053.45618889292	-1.36433731461282	0.0352148323575045	-38.7432574081833	0	0
CLDN6	7645.30119178007	3.78719546292175	0.0418082932304865	90.5847900090821	0	0
CLDN7	1049.86770832134	4.45532183312598	0.107868886309413	41.3031225736982	0	0
CNTFR	1471.82734391868	-6.23840697236412	0.145293578817059	-42.9365634954796	0	0
