	Gene
0	MED13
1	NIPBL
2	SMC3
3	CNOT1
4	RLF
5	NCKAP1
6	BRD4
7	FBN1
8	XPO1
9	PRR12
10	SYNGAP1
11	HDAC4
12	SMARCA4
13	AGO1
14	ARHGAP35
15	TRIP12
16	KMT2E
17	UBTF
18	KDM3B
19	TRRAP
20	GRIN2B
21	USP7
22	ATP1A3
23	ASH1L
24	MED13L
25	KMT2A
26	CREBBP
27	SF3B1
28	EIF3B
29	KAT6A
30	KMT2B
31	SIN3A
32	CHD2
33	ARID1A
34	SCN1A
35	SPEN
36	WDFY3
37	EHMT1
38	GGNBP2
39	TLE3
40	UBR5
41	TSC2
42	PTCH1
43	CHD7
44	CNOT3
45	AHDC1
46	KMT5B
47	PHF21A
48	HIVEP2
49	DYNC1H1
50	PRKCB
51	TAF4
52	TRIM28
53	CHD8
54	SNRNP200
55	WAC
56	ATP2B1
57	ZNF462
58	WDR26
59	STXBP1
60	MN1
61	SUPT6H
62	MYT1L
63	SPTBN1
64	ZDHHC5
65	ANK3
66	SATB2
67	CYFIP2
68	EFTUD2
69	TCF20
70	DLL1
71	NSD1
72	SRCAP
73	HNRNPK
74	ARID2
75	GATAD2B
76	FBXO11
77	NOTCH1
78	TAB2
79	BPTF
80	EP300
81	HDAC2
82	ARCN1
83	SPTAN1
84	CACNA1C
85	ARID1B
86	KMT2D
87	ZNF148
88	RFX3
89	CLTC
90	MAP2
91	AGO2
92	ANK2
93	RALGAPB
94	SCAF4
95	TBL1XR1
96	ANKRD11
97	PAFAH1B1
98	ZEB2
99	NAA25
100	SETBP1
101	ARID5B
102	NTRK2
103	RORB
104	NRXN3
105	PTPRD
106	WAPL
107	PHIP
108	DPYSL5
109	ZBTB4
110	HNRNPU
111	TLK2
112	DHX30
113	MYCBP2
114	TRIM24
115	NOTCH2
116	RAI1
117	PIK3CA
118	KIF5C
119	SMARCC2
120	MYRF
121	DOT1L
122	SRRM2
123	TSC1
124	SON
125	NSD2
126	STAG1
127	DAZAP1
128	POGZ
129	PRKAR1A
130	CDC42BPB
131	RARB
132	ZMYND11
133	SUPT16H
134	KIF11
135	KMT2C
136	TRAF2
137	ADNP
138	SHANK3
139	CACNA1E
140	WDR5
141	CUL4A
142	GAPVD1
143	KCNB1
144	NLGN2
145	HECTD4
146	SCN2A
147	VCP
148	COL4A1
149	KAT6B
150	GSE1
151	CTNNB1
152	PUM1
153	TNPO2
154	SCN8A
155	ZMYND8
156	RFX7
157	NR4A2
158	U2AF2
159	ITPR1
160	COL2A1
161	CACNA1A
162	PHF12
163	CTR9
164	PTPN11
165	SETD1A
166	KIF1A
167	MBD5
168	ZFHX3
169	SHOC2
170	TRIO
171	PPFIA2
172	KDM6B
173	SOS1
174	ADGRB1
175	ZNF292
176	CSNK1E
177	SPOP
178	CSDE1
179	ZFHX4
180	GNB1
181	CBLL1
182	JAG1
183	ASXL2
184	SP3
185	EZH2
186	CHD3
187	PPP1CB
188	CTCF
189	ATP2B2
190	KLHDC3
191	DIP2C
192	NFIX
193	TLE4
194	SLC6A1
195	EBF3
196	MAPK8IP3
197	SETD1B
198	CASZ1
199	ATP1B1
200	HDLBP
201	XPR1
202	MARK2
203	CHD4
204	CHD5
205	HECTD1
206	KCNQ2
207	TANC2
208	PPP3CA
209	PSMD11
210	TNRC6A
211	CUL5
212	FBRS
213	RORC
214	DPF2
215	USP48
216	PSMD12
217	KIF2A
218	UPF1
219	CPSF6
220	FAM120A
221	ZNF865
222	TEX10
223	CASKIN1
224	PAX5
225	LARP1
226	ARIH1
227	LRRC4
228	GABBR2
229	PPP1R9B
230	TMEM63B
231	SOX9
232	NACC1
233	ACVR2A
234	DYRK2
235	PRPF4B
236	KIF1B
237	CELF1
238	CAMTA1
239	TFAP4
240	TNRC6B
241	SCN3A
242	CELF2
243	DDX6
244	EPHA4
245	PPP2R5D
246	FOXP1
247	MAP4K4
248	MAPK1
249	ABL1
250	BRPF1
251	PHF2
252	PAPOLA
253	NCL
254	PRPF8
255	AKT3
256	HIC2
257	SF3B3
258	G3BP2
259	ZBTB18
260	HCN1
261	TNIK
262	LMTK3
263	SET
264	CIC
265	SF1
266	MEIS2
267	SHANK1
268	MTOR
269	PACS1
270	NAV3
271	CTNND1
272	SYK
273	EEF1A2
274	XKR6
275	PTPRF
276	ZNF423
277	CUX2
278	STAT1
279	PRDM16
280	SOX5
281	GRIN2A
282	CNOT2
283	DSCAM
284	AP2M1
285	SMARCE1
286	GRIK3
287	SNAP91
288	SKI
289	SOGA1
290	TBR1
291	GLI3
292	KIAA0232
293	GLYR1
294	ATXN7L3
295	LINGO1
296	TNFAIP3
297	ANKRD12
298	ECPAS
299	YY1
300	ASXL3
301	CPSF7
302	PAX8
303	PRKCE
304	ACIN1
305	NFIA
306	COP1
307	AP1G1
308	SMARCA2
309	CYLD
310	BRSK1
311	EIF4A2
312	MORC2
313	FBN2
314	PDE4D
315	UBE3A
316	SETD2
317	SMARCD1
318	SF3B4
319	RAB11A
320	SYNCRIP
321	SOX10
322	BRAF
323	CACNA1G
324	LEF1
325	MAP3K7
326	LCK
327	HSP90AB1
328	PDE10A
329	UBN2
330	CACNA1D
331	RAB14
332	DYRK1A
333	SOX6
334	FGFR1
335	ROCK2
336	WDR48
337	NR2F2
338	TCF4
339	XRCC6
340	AGO4
341	ZNF536
342	HNRNPA2B1
343	FOXP2
344	SRP54
345	RAB2A
346	SMARCB1
347	ARHGAP44
348	SEMA6A
349	AFF3
350	ITSN1
351	SMAD4
352	BRWD1
353	SF3B2
354	RAPGEF1
355	FEZF2
356	THRB
357	MAST3
358	SPAST
359	GABBR1
360	LHX2
361	NFIB
362	HNRNPUL2
363	SETD5
364	HNRNPD
365	TCERG1
366	CUL3
367	INO80D
368	PCBP2
369	PIK3R1
370	SNAP25
371	CELF4
372	FBXW7
373	CASKIN2
374	TTBK1
375	PRKG1
376	FUS
377	CRIM1
378	DLG4
379	KANSL1
380	AMIGO1
381	VEZF1
382	PCSK2
383	FOSL2
384	CAMK2G
385	SLC2A1
386	TAOK3
387	UBA2
388	SHH
389	SRSF1
390	NOVA2
391	DDB1
392	LONP1
393	SPI1
394	RPL19
395	KPNA1
396	CACNA2D1
397	STK11
398	BRD1
399	KLF7
400	GRAMD1B
401	PUF60
402	ACTL6A
403	JADE1
404	GRIA2
405	NPTN
406	TOP2B
407	DCTN2
408	RHEB
409	ZBTB21
410	RYR2
411	TM9SF4
412	ETF1
413	INHBA
414	CAMK2A
415	INTS3
416	DOP1A
417	ZMIZ1
418	ZYG11B
419	SCUBE3
420	DNM1
421	RBBP4
422	ZNF644
423	AUTS2
424	SVEP1
425	SCAF1
426	PIAS2
427	ADCY5
428	BOD1L1
429	NRXN1
430	ARHGAP32
431	FRMD5
432	PBX1
433	RAD21
434	HECW2
435	STMN2
436	TFAP2B
437	MRTFA
438	TRIM8
439	EXT1
440	YLPM1
441	ERF
442	GNAO1
443	ZBTB1
444	KCNC1
445	GRIK2
446	CAMTA2
447	PLXNA1
448	PPP2CA
449	HUNK
450	MSI1
451	GNB2
452	PAPOLG
453	AGAP2
454	ZIC2
455	LRFN3
456	STX1B
457	ATP6V0A1
458	RALA
459	TRIM39
460	FGFR2
461	FBXO28
462	CHAMP1
463	LSM12
464	TCF7L2
465	SPRY2
466	SLC4A4
467	DPYSL2
468	TAOK1
469	KCNN2
470	QRICH1
471	EIF3G
472	KDM1A
473	KCNMA1
474	BAP1
475	CTBP1
476	PSMA3
477	PACS2
478	KCND3
479	NAA15
480	TBX3
481	BCL11B
482	MFN2
483	LASP1
484	ATF2
485	PPP6R3
486	PUM2
487	TSHZ3
488	RAB11FIP4
489	KIF5B
490	ZFP36L2
491	PHF3
492	MYO18A
493	UBE2I
494	ATP6V1B2
495	FBXL3
496	C16orf72
497	YWHAG
498	ZBTB10
499	NF1
500	LDB1
501	SATB1
502	MLXIP
503	AP3D1
504	CSNK2A1
505	ARF4
506	ZBTB34
507	SRSF7
508	PPP2R1A
509	BICRA
510	BICD2
511	C3
512	INF2
513	KCNK9
514	CENPE
515	AHNAK
516	ATL1
517	GRIN1
518	RNF145
519	NAMPT
520	SLC12A2
521	SLC9A3
522	CAPRIN1
523	RUNX1T1
524	MAGEL2
525	FZD4
526	TBCEL
527	PIP5K1C
528	AKT1
529	KBTBD6
