Module,3hrs.H3K27ac_REPLICANT.1,3hrs.H3K27ac_REPLICANT.2,24hrs.H3K27ac_REPLICANT.1,24hrs.H3K27ac_REPLICANT.2
Module_19414,11,19,5,12
Module_19415,9,17,7,14
Module_14386,4,8,2,9
Module_14387,13,17,12,16
Module_14388,10,7,11,13
Module_14389,39,80,42,65
Module_14390,21,19,11,22
Module_19416,6,13,6,10
Module_19417,23,41,21,28
Module_14391,12,17,12,19
Module_14392,13,13,17,14
Module_14393,14,23,15,27
Module_19418,16,20,10,22
Module_14394,53,78,42,78
Module_37075,9,13,9,20
Module_19419,16,18,14,29
Module_29123,21,28,29,42
Module_29124,90,163,64,123
Module_29125,15,19,18,27
Module_33277,30,55,19,41
Module_29126,19,9,21,22
Module_29127,9,15,7,19
Module_27429,8,7,1,4
Module_29128,7,9,10,13
Module_37076,13,24,20,28
Module_37077,7,8,13,11
Module_12851,11,16,17,23
Module_33278,15,22,29,43
Module_3775,13,24,13,20
Module_33279,24,33,31,64
Module_12852,52,70,34,66
Module_33280,13,13,17,28
Module_12853,38,56,24,49
Module_27430,21,29,11,24
Module_29129,18,17,13,15
Module_29130,25,25,18,27
Module_33281,12,11,5,23
Module_12854,12,4,7,8
Module_33282,26,34,39,71
Module_29131,4,8,11,13
Module_12855,1,4,7,9
Module_19420,49,79,19,58
Module_29132,8,4,5,16
Module_33283,10,10,21,18
Module_29133,10,14,10,22
Module_29134,12,9,14,17
Module_29135,14,11,16,18
Module_14395,6,22,20,31
Module_33284,8,9,16,23
Module_14396,11,14,11,14
Module_3776,137,251,97,228
Module_14397,15,28,11,19
Module_14398,18,13,8,11
Module_29136,7,8,8,14
Module_33285,17,8,18,16
Module_7573,12,18,7,21
Module_29137,7,12,13,22
Module_33286,25,33,24,44
Module_33287,29,79,31,63
Module_33288,54,93,48,83
Module_16497,4,4,5,3
Module_14399,8,7,8,7
Module_29138,9,7,12,23
Module_12856,21,39,24,47
Module_27431,11,16,8,23
Module_33289,19,23,18,25
Module_7574,8,12,21,24
Module_5454,83,156,63,113
Module_7575,11,8,22,25
Module_7576,15,28,17,39
Module_7577,19,26,28,30
Module_37078,29,60,32,49
Module_12857,14,13,6,14
Module_35464,8,25,13,27
Module_7578,26,29,17,24
Module_31171,15,14,11,11
Module_33290,18,20,16,30
Module_37079,3,8,5,5
Module_31172,9,12,11,14
Module_35465,8,3,11,10
Module_14400,11,16,13,19
Module_12858,33,52,24,40
Module_14401,9,8,9,13
Module_14402,12,8,14,9
Module_25040,1,6,3,7
Module_14403,61,106,54,120
Module_31173,9,14,8,21
Module_14404,16,24,10,37
Module_31174,11,16,13,28
Module_14405,10,12,10,27
Module_31175,12,9,14,17
