"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Module_17481",129.185305542366,-1.01215000716816,0.289197466049708,-3.49985779956381,0.00046550641156294,0.0298989642250315
"Module_33452",118.65981151055,-1.02336881884412,0.290144788579848,-3.52709701888196,0.000420142781677682,0.0298989642250315
"Module_33473",69.0568177437919,-1.68991636485343,0.353554940833254,-4.77978432678852,1.75483339777367e-06,0.000932250333178758
"Module_14573",243.914319911381,-0.912943525360235,0.257386256559278,-3.54697852777535,0.000389676349713721,0.0298989642250315
"Module_33507",173.52183773893,-0.975801104564834,0.267777440710315,-3.64407510198168,0.00026835505920126,0.0264476055553517
"Module_14632",151.222259517177,-1.23908946757691,0.27237241316142,-4.54924730884025,5.38381406355008e-06,0.00136748877214172
"Module_17872",112.103330755364,-1.02072163852436,0.29328109663677,-3.48035263857639,0.000500754208643743,0.0310912724211248
"Module_33600",144.945369277208,-0.909555276610225,0.278808971599338,-3.26228840984823,0.00110516641788164,0.0388700952944891
"Module_19651",72.9292733204935,-1.19835193867587,0.341767130135539,-3.50634052549356,0.000454313587294989,0.0298989642250315
"Module_18142",121.076342654849,-1.06381181149327,0.313670078601691,-3.39149917083464,0.000695113734501724,0.0359656995221818
"Module_18246",80.1200276383118,-1.17816658093031,0.324608914066599,-3.62949546323485,0.000283975721782588,0.0264476055553517
"Module_5911",78.8997728931071,-1.05292811152927,0.328807967451116,-3.20225850879301,0.00136354573792042,0.04535412847321
"Module_31502",92.5157967224374,-1.05280297964142,0.329337090521412,-3.19673371127013,0.00138993176503123,0.045687874723497
"Module_31503",98.3017077350858,-1.1233027366265,0.331076256148831,-3.39288220089553,0.000691613735345051,0.0359656995221818
"Module_688",143.24887917374,-0.939830571223618,0.278111478417581,-3.37933039143561,0.000726626271139095,0.036029165606996
"Module_703",118.06581515286,-1.03398057021867,0.311837090103513,-3.31577160970636,0.000913904844084519,0.0373681135978646
"Module_33750",128.237259545388,-1.28856806602073,0.293187373680577,-4.39503260268161,1.10756129550722e-05,0.00223633132327126
"Module_889",91.2442457903156,-1.47175939515154,0.335062204264606,-4.39249600945519,1.12056687637071e-05,0.00223633132327126
"Module_13463",142.071690350883,-0.958247978174061,0.276803646639092,-3.46183292672969,0.000536510095669258,0.0318938129212746
"Module_9691",91.5648948883459,-1.19867098632922,0.342789451470466,-3.49681409736291,0.000470849830315457,0.0298989642250315
"Module_35908",74.93347396188,-1.21254837440458,0.338629913230572,-3.58074797006771,0.000342612014099464,0.0290078171937546
"Module_13542",96.6790572402227,-1.05287879855188,0.314668029415069,-3.34599864024656,0.000819867977636644,0.0368109632106547
"Module_16822",115.267026585174,-1.06484774385003,0.294994182404499,-3.60972455514358,0.00030652232165682,0.027536085705621
"Module_37310",128.874530466612,-1.31863602841552,0.279336513610773,-4.72060029449964,2.35149625084475e-06,0.000932250333178758
"Module_37387",69.308429708657,-1.3165096952732,0.368896854385955,-3.56877452225662,0.000358654921063152,0.0294729955720719
"Module_1133",68.929924010675,-1.15389906397662,0.350873425644855,-3.28864764225423,0.00100669968595352,0.037832856067018
"Module_19897",133.860721023514,-0.938182100866827,0.281637269728552,-3.33117169389928,0.000864812443113433,0.0371736302470605
"Module_35977",70.2062637176727,-1.13108558609548,0.348361554549688,-3.24687259923842,0.00116680607337283,0.0402476070247368
"Module_18552",104.792909722876,-1.56521630794536,0.30194912258386,-5.18370874719352,2.17516521738404e-07,0.000303870580868551
"Module_18566",85.7445125248803,-1.14516205051819,0.333539735956871,-3.43336018790357,0.000596149570591588,0.0347008729215187
"Module_4190",226.766951925461,-0.830434348451179,0.24765217802068,-3.35322852836705,0.000798747265761945,0.0368109632106547
"Module_20008",103.298412411886,-1.23934144736841,0.300667410272429,-4.12196801191546,3.75649372388147e-05,0.00617390792030872
"Module_15566",77.6215943687084,-1.11376344998515,0.332427479909428,-3.35039525098408,0.000806963237273211,0.0368109632106547
"Module_15597",97.6354952451059,-1.26477605651114,0.319515509790799,-3.95841834826499,7.54477243995306e-05,0.0100381400939185
"Module_18892",89.4777352642917,-1.05206347193947,0.317161523862517,-3.31712201129263,0.000909498889317228,0.0373681135978646
"Module_18893",273.916349400956,-1.0389476307922,0.263376268581261,-3.94472758076776,7.98907488045869e-05,0.0101461250981825
"Module_15645",165.545136874889,-0.8861719364018,0.27148477830633,-3.26416803892367,0.00109786031082464,0.0388700952944891
"Module_11979",106.630390409131,-1.18166787254692,0.337261606159266,-3.50371299598477,0.000458819565163226,0.0298989642250315
"Module_1484",148.350904091733,-1.32947708632501,0.280443684943338,-4.74062051564336,2.13064671810566e-06,0.000932250333178758
"Module_34147",112.832916016097,-0.983370349990053,0.29167535136553,-3.37145509686105,0.000747722267696386,0.036029165606996
"Module_29634",84.0705722913655,-1.14342541278694,0.33933497868514,-3.36960668545725,0.000752755451398561,0.036029165606996
"Module_8484",86.2620223594403,-1.09944016445934,0.32229367758517,-3.41129919983863,0.000646541028709494,0.0359656995221818
"Module_13736",103.023826654332,-1.0613285458031,0.32118063644603,-3.30445993739552,0.000951595753389911,0.0373681135978646
"Module_8543",256.048401649244,-0.80707571718374,0.232496353108411,-3.4713478572604,0.000517852688913602,0.0314539220179262
"Module_23363",68.3003114020034,-1.25524849984562,0.355523340384489,-3.53070630605603,0.000414451662246199,0.0298989642250315
"Module_23364",77.8671107365916,-1.18650145472633,0.356036013988246,-3.33253212627388,0.000860595338838851,0.0371736302470605
"Module_6520",144.689676095732,-0.901102603312606,0.27296781091343,-3.30113136892314,0.000962957830725215,0.0373681135978646
"Module_6634",85.3445884974818,-1.07528237841753,0.325088382444925,-3.30766165905576,0.000940783956410744,0.0373681135978646
"Module_20323",144.277217430968,-0.975518229148118,0.266384180362043,-3.66207267947477,0.000250182853464039,0.0264476055553517
"Module_34279",124.512321634658,-1.24927912335307,0.281002506903403,-4.44579351664829,8.75680279004451e-06,0.0020388755829487
"Module_4605",119.067912575473,-0.963809827759476,0.288342826219861,-3.34258299537015,0.000830025297878041,0.0368109632106547
"Module_34339",92.4035320859191,-1.10026468141527,0.325640732126299,-3.37876860253629,0.000728112656422431,0.036029165606996
"Module_16411",178.962522103132,-1.16358770320738,0.271249207958767,-4.28973677734854,1.78885007548604e-05,0.003332031407272
"Module_28268",93.2936880042573,-1.01340450334602,0.308383626643641,-3.28618128781877,0.0010155562652206,0.037832856067018
"Module_34417",94.3892446070076,-1.43841742771405,0.309568849370848,-4.64651863595905,3.37583649382919e-06,0.000943208716375875
"Module_1784",77.7087429814825,-1.19987948646833,0.329113663979463,-3.64579055138592,0.000266571032739647,0.0264476055553517
"Module_8778",74.7611436560499,-1.6252285873949,0.346179795321938,-4.69475286933913,2.66929229256623e-06,0.000932250333178758
"Module_28334",131.045430781738,-1.04905690998949,0.277211162015494,-3.78432420383872,0.000154126804533391,0.0179429288277623
