,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_29139,26.0936438032618,-1.79653998264156,0.53241740525692,-3.3743073853392,0.000740016838604402,0.0339182092869086,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_12872,42.3907059076039,-1.85765904712391,0.427757322237129,-4.34278725471847,1.40686355621971e-05,0.00262859462153815,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_35474,56.4962780551296,-1.20224872281664,0.362731846325379,-3.31442837180112,0.000918307041150616,0.0386939464777852,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_5502,116.527215740587,1.21976367805881,0.289586931269026,4.2120812314063,2.53028512661792e-05,0.00386580124501094,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_5503,88.965598374085,1.04140635412773,0.308329671494058,3.37757423436234,0.000731282115070489,0.0338321999869252,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_33302,59.6729413743053,-1.47341351367493,0.360772594504114,-4.08405055184458,4.4257396253561e-05,0.00567442738842807,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_19434,33.8554013811721,-1.50703881485997,0.45581349752681,-3.3062619317703,0.000945496576336293,0.0392294152337324,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_5514,41.2102884298503,-1.48282096810712,0.420012706571991,-3.53041930614296,0.000414901554903351,0.0240053692535205,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_5515,34.4155374664451,-1.4579996946471,0.451465396516206,-3.22948271539292,0.00124014377507416,0.0470478703066267,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_5516,35.9207500315519,-1.58231095041603,0.445951593568411,-3.54816749897609,0.000387921442717111,0.0230817192711232,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_12908,64.8637248402178,1.23698391869275,0.347646167910641,3.55816929071029,0.000373448602423615,0.0225349120617337,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_19444,22.4199683420372,-2.25878959933432,0.597517945610096,-3.78028746404926,0.000156647391085485,0.0128354596930213,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_19445,33.6303156567204,-2.49515379659404,0.508189091793995,-4.90989247287011,9.11263464039642e-07,0.000429496540934182,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_29202,82.2452868300822,-1.06713426048568,0.310333230561479,-3.4386722251914,0.000584574561592445,0.0293628599139602,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_17405,49.7091386319895,1.40623402325976,0.405824667749663,3.46512702408521,0.000529981092259218,0.0276370654127409,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_14450,47.2105695734812,-1.88556963183884,0.409100543832586,-4.60906166042757,4.04490368782887e-06,0.00121074698753849,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_35497,94.9811206420717,-0.96572689507927,0.300047919073726,-3.21857554640123,0.00128829029466965,0.0482455294585912,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_17451,42.8948599028549,1.36195823649548,0.421382682247903,3.23211725083241,0.0012287662576425,0.0469331112001108,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_38939,32.2268855512122,-2.04036377245981,0.491338708380153,-4.15266238474573,3.2862940122285e-05,0.00459048326451005,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_27560,27.844123547127,-2.49816607637369,0.546787968912795,-4.56880220195941,4.90519424076519e-06,0.00139712836841978,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_27561,26.2687499045924,-2.49625833560086,0.557093910389853,-4.48085733669927,7.43437950588606e-06,0.00173079435258462,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_13016,39.108901395132,-1.4286159846459,0.431936513568491,-3.307467509156,0.000941436320446257,0.0391717631545681,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_7661,50.4489524841512,-1.38331382060667,0.388309110749388,-3.56240371990511,0.000367474695225024,0.0223178109932316,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_29251,23.5898399647964,2.32637946728649,0.600849647159147,3.87181631592155,0.000108027349780078,0.010059205452816,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_16550,25.8058387887055,-1.72044881163862,0.523926507853506,-3.2837598133509,0.00102432179709536,0.041419863734055,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_177,56.2985420546383,-1.84911138668697,0.375216299654821,-4.92812116208184,8.30241280373042e-07,0.00041278470709259,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_178,52.1442630930328,-1.72753206642524,0.386430785395461,-4.47048250738444,7.80433271906053e-06,0.00177977744061927,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_179,45.2881462925897,-1.77895078011978,0.412214462697576,-4.31559525708566,1.59173392937522e-05,0.0029182451927683,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_180,32.6217521266113,-2.45546983104241,0.500665186513342,-4.90441496070943,9.37062065173098e-07,0.000429496540934182,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_29254,37.7556764202622,1.59709039668498,0.452640122790082,3.5283889259319,0.00041809737027827,0.0240773044041811,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_29255,38.26690339199,1.5657906547898,0.469134215023363,3.33761768945337,0.000844999279268391,0.0368309195513506,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_13059,20.5633618083844,-2.11454629697784,0.609151816078082,-3.47129605652657,0.000517952604948189,0.0271871837420031,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_14522,108.141783141033,-1.11013121070067,0.282110793751781,-3.93508945877992,8.31657126848345e-05,0.00855994040665592,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_14532,36.0251357057832,-1.46693299441286,0.452903364836234,-3.23895362301689,0.00119969078972727,0.0463049074024472,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_14546,103.332254985411,-1.07610834957033,0.287813482888195,-3.73890875011009,0.000184820792999137,0.0145740138221417,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_17616,97.8364380780179,1.44350488482141,0.308874055017364,4.67344168722835,2.96193829622966e-06,0.0010209874532229,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_33472,42.7330726240936,1.45231420804124,0.422143405733724,3.44033375463246,0.000580997243828931,0.0292332301037356,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_29266,24.158831794559,-1.83237335812783,0.560218921937851,-3.27081661538578,0.00107237425529881,0.0423949142923656,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_17650,72.1776653280149,1.10609309665877,0.342552362105667,3.22897524296612,0.00124234649125512,0.0470478703066267,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_7705,126.458148473052,1.13844598308304,0.29424575833001,3.86903107641816,0.000109268715944372,0.0101113202318997,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_17655,101.614598228677,0.946760864684324,0.291128059671624,3.25204264320044,0.00114578830173986,0.0447543995249495,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_19481,240.438789719892,0.848514364917235,0.249950861468355,3.39472470681866,0.000686976394852518,0.032271561958177,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_14591,20.0139413310478,-2.69628299663816,0.646875907314642,-4.16816110501188,3.0706687828126e-05,0.00441056628306453,24hrs_72hrs.H3K27ac.DESeq2_results.csv
