"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"Module_19420","Module_19420",2.6424012643264e-08,1.76720460636287e-06,-48.7295050092921,-70.5885422627888,7,2,40.6832213029469,0,0,FALSE
"Module_7574","Module_7574",0.000568663738333225,0.00902660776127828,-40.8771515490051,-51.782784436567,7,2,21.9057141156321,0,0,FALSE
"Module_17287","Module_17287",6.80640826496897e-06,0.000225170750333538,-51.7579951892994,-67.6088570021205,7,2,68.1454244301057,0,0,FALSE
"Module_17288","Module_17288",2.44024827944721e-05,0.000661149636465843,-51.5816273297593,-66.0250891582348,7,2,68.4963626633315,0,0,FALSE
"Module_17289","Module_17289",0.000179392719785028,0.00349494099780727,-54.9645506704362,-67.1799746551611,7,2,89.2819785821068,0,0,FALSE
"Module_22235","Module_22235",3.59768185050236e-05,0.00092025070471045,-44.1946167810038,-58.2075687278422,7,2,25.1444516617501,0,0,FALSE
"Module_17292","Module_17292",0.00013484501697541,0.00278695853616375,-40.643606664199,-53.1804278735036,7,2,20.0253865025598,0,0,FALSE
"Module_12872","Module_12872",3.35881459039039e-12,6.79543890571395e-10,-51.2039948364763,-82.5540220156517,7,2,55.4950185692393,0,0,FALSE
"Module_35474","Module_35474",2.40740876228604e-06,9.26622219678758e-05,-52.7932515320481,-69.7812216822203,7,2,69.2728386209982,0,0,FALSE
"Module_35476","Module_35476",0.000383928838195024,0.00658039972523195,-39.9543990444095,-51.3080985227125,7,2,18.8408952891193,0,0,FALSE
"Module_22242","Module_22242",7.7894760735474e-05,0.00176043963258941,-41.461827347291,-54.6139213460534,7,2,20.1885775929758,0,0,FALSE
"Module_22243","Module_22243",4.43313723871914e-06,0.000156976726796897,-43.1796042189371,-59.5004146476126,7,2,22.6767913595878,0,0,FALSE
"Module_22244","Module_22244",8.23900392618066e-05,0.00183842760501434,-43.1387020273819,-56.2280399523815,7,2,22.0320672008509,0,0,FALSE
"Module_22245","Module_22245",0.000277066934908394,0.00503157053060301,-43.4899111410769,-55.2139829378215,7,2,22.0408733522713,0,0,FALSE
"Module_22246","Module_22246",0.000106519882676692,0.00227753425196298,-42.5318764955094,-55.3334732108076,7,2,24.5868735116597,0,0,FALSE
"Module_14408","Module_14408",0.000614520372887664,0.00964945582403676,-35.0298026818212,-45.846699313871,7,2,11.1368789055144,0,0,FALSE
"Module_7594","Module_7594",1.19509453700549e-06,5.02251577811878e-05,-48.0009851518646,-65.751465196824,7,2,46.743976247447,0,0,FALSE
"Module_5502","Module_5502",3.37516335080258e-17,1.76477209956705e-14,-50.8513267824763,-94.1818462392835,7,2,72.5492151859565,0,0,FALSE
"Module_5503","Module_5503",1.78709828142741e-09,1.673264276943e-07,-52.6821846023255,-77.4122223583246,7,2,57.3903087974506,0,0,FALSE
"Module_5504","Module_5504",5.76140916669574e-09,4.65783322209513e-07,-50.1014333786941,-73.5865497384336,7,2,48.8088152245333,0,0,FALSE
"Module_31180","Module_31180",0.000415014418911178,0.0070087648992378,-48.972701768459,-60.2377802846518,7,2,51.1805641102943,0,0,FALSE
"Module_33302","Module_33302",1.61898706707458e-07,8.70254183010545e-06,-51.7633502302915,-71.6763641853434,7,2,66.2762527806408,0,0,FALSE
"Module_19434","Module_19434",7.62768893358374e-06,0.000248109817625205,-45.634832035195,-61.3606174215933,7,2,39.1054765664015,0,0,FALSE
"Module_5514","Module_5514",1.37622039907002e-06,5.65965367588948e-05,-50.5595041798766,-68.1565618851253,7,2,53.3412290311472,0,0,FALSE
"Module_5515","Module_5515",3.21946542512992e-05,0.000837872640472887,-48.6889790315043,-62.8252501295827,7,2,43.0076266561307,0,0,FALSE
"Module_5516","Module_5516",1.94701511381962e-05,0.000548556861424014,-49.3853448267284,-64.0786317210856,7,2,44.2470786263316,0,0,FALSE
"Module_12908","Module_12908",1.99632812824538e-06,7.8567122943585e-05,-47.1055481996442,-64.297662039015,7,2,38.1171044467362,0,0,FALSE
"Module_5532","Module_5532",0.000552640134592302,0.00880474712655956,-40.9468261939184,-51.8851391673276,7,2,19.99481462182,0,0,FALSE
"Module_19444","Module_19444",1.17069569684329e-06,4.93026981700919e-05,-44.1994202169723,-61.9723171190188,7,2,24.9415905813757,0,0,FALSE
"Module_19445","Module_19445",5.32205919689703e-11,7.70760522756371e-09,-44.9334294132031,-73.3795956126578,7,2,37.8231665524968,0,0,FALSE
"Module_33322","Module_33322",0.000250639978857521,0.00462466369788389,-50.9423203055911,-62.779918206069,7,2,60.7835207384735,0,0,FALSE
"Module_27482","Module_27482",6.88591934988269e-06,0.000226916516769324,-44.9027796922406,-60.7408942127672,7,2,34.3686966947627,0,0,FALSE
"Module_12927","Module_12927",8.32363794096527e-10,8.65937951269258e-08,-43.9935182668791,-69.534126780736,7,2,35.1803709430509,0,0,FALSE
"Module_12928","Module_12928",0.000488759554135781,0.00799266791594667,-44.5223514556611,-55.6009681321956,7,2,24.9225299505342,0,0,FALSE
"Module_22278","Module_22278",0.000502404887625593,0.00815019669421681,-46.1148833996701,-57.1620689046845,7,2,29.2493286544583,0,0,FALSE
"Module_17405","Module_17405",5.020380883159e-06,0.00017439650969531,-43.5369790954562,-59.7215669429395,7,2,29.834072822051,0,0,FALSE
"Module_17409","Module_17409",5.05929246364992e-08,3.12411309630383e-06,-56.368628003891,-77.5317996502737,7,2,84.8038096151857,0,0,FALSE
"Module_12944","Module_12944",2.68716187976808e-05,0.000717901953824438,-59.7392523268302,-74.075943159753,7,2,109.215742310668,0,0,FALSE
"Module_17417","Module_17417",6.93252169788118e-05,0.00160408193148502,-43.7032306929054,-56.9855850925171,7,2,32.0312663205619,0,0,FALSE
"Module_14448","Module_14448",0.0004872547313887,0.00798427461963388,-49.320568453379,-60.4027042645394,7,2,57.6853919046183,0,0,FALSE
"Module_14450","Module_14450",4.17496864642963e-12,8.32120854821303e-10,-48.2638203390299,-79.385718495845,7,2,58.6021144265903,0,0,FALSE
"Module_29213","Module_29213",0.000246226535811694,0.00456205042728512,-55.4487393373885,-67.3064434051793,7,2,99.6740167963833,0,0,FALSE
"Module_5565","Module_5565",0.000236962369745239,0.00441887075882958,-43.7495001926196,-55.6505935467124,7,2,26.2168611691292,0,0,FALSE
"Module_33383","Module_33383",9.16912187875091e-05,0.00200957003788999,-43.569736949869,-56.5393426874337,7,2,20.8435642205647,0,0,FALSE
"Module_17435","Module_17435",0.000408816445812237,0.00691860400371857,-48.6661050151736,-59.948317875987,7,2,39.1131201294388,0,0,FALSE
"Module_7624","Module_7624",0.000220120914782931,0.00415095463703774,-51.4376925867386,-63.4221431668958,7,2,76.1800131752628,0,0,FALSE
"Module_35494","Module_35494",7.10258153978048e-05,0.00163283460202337,-43.6078416359222,-56.8631219692388,7,2,30.2693601000902,0,0,FALSE
