Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ACTC1	4279.63922369662	-4.84385154285212	0.123963039200544	-39.0749660067295	0	0
L1TD1	2433.06160262548	-4.0582595466949	0.104675839767372	-38.7697825564509	0	0
MMP14	2959.86633581407	-4.0020528708578	0.0993555305447923	-40.2801217900352	0	0
ZIC1	2562.63853928443	-5.61156915737328	0.137280720444818	-40.8766004373421	0	0
BAMBI	1959.24603770092	-5.51771886302116	0.149336064986108	-36.9483343727749	7.74612915721244e-299	3.30201993713652e-295
COL6A3	2411.28094198533	-7.30688542920981	0.210073994278859	-34.7824367994375	4.48332966018487e-265	1.59262813961967e-261
HAPLN1	2130.65530917871	-6.13509212020537	0.176879687552228	-34.6851139613972	1.32099170914951e-263	4.02223104125894e-260
POU5F1_variant2	2042.20623460417	-7.50428655508717	0.217465815038572	-34.5078906022822	6.10821739525655e-261	1.62738181953123e-257
COL3A1	11003.8406056188	-5.16203109207658	0.157589191244577	-32.7562509288163	2.4736490387177e-235	5.85815062346989e-232
RSPO1	927.745512452513	-4.90436842144095	0.156095855309705	-31.4189535123168	1.11499178794893e-216	2.37649349683435e-213
B3GNT7	1251.00428425734	-6.88244594827274	0.222745028835336	-30.8983144730946	1.2583836689996e-209	2.43828995645976e-206
CDKN2B	1187.75788123745	-6.57011110757594	0.21415589267521	-30.6791049524853	1.08150760826377e-206	1.92093776354449e-203
HAS2	1216.09582217796	-4.79816702139931	0.163335960922011	-29.3760602032416	1.11070967008872e-189	1.82105122371315e-186
IGF2	1479.99358049534	-3.565601545306	0.1227515430022	-29.0473052973524	1.66424391428397e-185	2.53369248493204e-182
TGFBI	1092.23734201699	-3.56890214768709	0.123074158118371	-28.9979813979679	6.97670220106447e-185	9.91342871423254e-182
CLDN6	3122.29309522917	-3.5823003488692	0.123799934976757	-28.9362054151463	4.18534645994456e-184	5.57540465295365e-181
RSPO3	1496.00352126898	-2.93475760473058	0.102083810922464	-28.7485114261616	9.45410138115792e-182	1.18532186375294e-178
RNA45S5	11616.1433941019	2.3475994390874	0.0846375047179116	27.7371059899712	2.4930287183521e-169	2.95202300571982e-166
BMP4	961.309889978095	-4.49894160700381	0.16325136287646	-27.5583708934079	3.51274324304062e-167	3.9405583937983e-164
H19	3041.04765620153	-4.91904115559215	0.180113952417935	-27.3107168520629	3.16426558270266e-164	3.37215783148622e-161
CDH3	792.489926549344	-3.88163747427166	0.143122919245148	-27.1210054598104	5.56702979493098e-162	5.65027014519804e-159
COL1A2	15788.5494653407	-2.67330267925278	0.100969579855451	-26.4763177491668	1.81655170556303e-154	1.75990832056229e-151
OTX2	665.946953225371	-5.27696318828801	0.202081648590642	-26.1130252305967	2.59356618716689e-150	2.40344650927283e-147
ZFP42	702.414367063219	-4.68174765993869	0.179399906456436	-26.0967118234009	3.97297936272801e-150	3.52833675571603e-147
TAGLN2	2383.16205088978	-2.57765229698483	0.100709193124862	-25.5950049544035	1.73395482307466e-144	1.47830052396054e-141
GPR124	599.492669197744	-5.93318093691477	0.232108114721494	-25.5621435038321	4.02383209249658e-144	3.29861373921046e-141
PAX8	1227.74463193225	3.0164066971332	0.11848130460892	25.4589254151925	5.62281248892632e-143	4.43868982922132e-140
OLFML3	1385.82613488861	-2.71089671543817	0.107579002126211	-25.1991249394354	4.0951153267542e-140	3.11726028837282e-137
APOA1	953.808699776762	-6.74344165258889	0.270910457547154	-24.8917731476466	9.13429795488964e-137	6.71339402105234e-134
CXCL14	665.492578594756	-6.34107184746968	0.255669134493998	-24.8018669129516	8.55864660212538e-136	5.99095780929034e-133
GCNT1	473.881688435769	-4.83662150308777	0.195016056449989	-24.8011450499621	8.71350718250917e-136	5.99095780929034e-133
COL6A1	4859.51236345572	-2.69018393932169	0.11211097056028	-23.9957242888664	3.08181426609563e-127	2.05268091461132e-124
SERPINE2	3240.62006692085	-2.21576512914149	0.0924058243029317	-23.9786306313074	4.64716440884175e-127	3.00150491545615e-124
RSPO2	511.317227061439	-5.75685530696476	0.241989619120044	-23.7896787800181	4.27133325102428e-125	2.67762343859798e-122
MAF	1575.34518087235	-2.39448015923897	0.10073022778878	-23.7712175560641	6.63073589333663e-125	4.03792870944506e-122
EPCAM	898.9429550522	-7.88431389911285	0.332503545147238	-23.7119694336539	2.71356237803167e-124	1.60657968126019e-121
FOXQ1	554.19266180639	-6.46585615523574	0.273338783400489	-23.6550996342226	1.04597328005257e-123	6.02537148406499e-121
PCSK9	793.598109159236	-4.01623000609663	0.173265985455586	-23.1795640415881	7.32004518849542e-119	4.10577481967346e-116
PCDH10	1063.08172818947	-4.62253123400426	0.200248184465308	-23.0840107057505	6.70240480041752e-118	3.66295015169485e-115
WNT8B	678.050682963356	-4.3420550917362	0.189394108190725	-22.9260304516107	2.55608482657711e-116	1.36200979984161e-113
CPLX2	538.033177123934	-5.91971319277115	0.258275608519249	-22.9201403365582	2.92633947476036e-116	1.5212682820742e-113
PFKP	1359.94082747858	-2.659110504284	0.116039883687528	-22.915487501215	3.25628634270155e-116	1.65248778829383e-113
