Gene,0hrs.RNASeq_REPLICANT.1,0hrs.RNASeq_REPLICANT.2,0hrs.RNASeq_REPLICANT.3,12hrs.RNASeq_REPLICANT.1,12hrs.RNASeq_REPLICANT.2,12hrs.RNASeq_REPLICANT.3
DDX11L1,22,23,32,44,77,47
WASH7P,1686,1772,1403,1532,1630,1644
LOC100996442,115,124,130,283,240,239
LOC101929017,118,171,119,236,246,186
MMACHC,1746,1784,1512,1332,1353,1408
FGA,0,0,0,1,3,1
FGG,4,2,0,16,21,18
LOC101927965,44,44,39,54,53,47
LRAT,24852,22451,14291,27726,29107,30256
RBM46,101,112,79,141,150,137
NPY2R,40,30,22,76,81,89
MAP9,4148,3950,2290,3147,3484,3582
PRDX1,145380,134284,70966,72842,79817,88348
GUCY1A3,2,1,0,6,7,11
GUCY1B3,454,440,315,283,282,360
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,0,2,1,8,6,7
CTSO_variant1,67,63,34,170,183,193
LOC100505784,0,0,0,0,0,0
PDGFC,262,272,146,273,277,291
GLRB,71,77,45,41,49,34
GRIA2,0,1,1,6,4,3
LOC340017,0,1,0,0,1,1
FAM198B,2,4,0,24,28,24
LOC101928007,0,0,0,0,0,0
AKR1A1,18982,18252,10949,13244,13845,15003
TMEM144,480,340,201,771,883,876
RXFP1,37,22,22,153,159,143
C4orf46,7558,6561,3807,4560,4967,5262
ETFDH,2372,2099,1464,1032,985,1095
PPID,11060,10067,6208,8392,9091,9798
FNIP2,3180,2828,1972,2306,2315,2498
LOC101928028,0,0,0,0,0,0
C4orf45,0,1,1,1,3,1
NASP,120382,119390,96592,64763,66989,67189
PSME2P3,1,2,1,0,1,1
FABP5P12,0,0,0,0,0,0
RAPGEF2,12833,11535,8879,9183,9397,9718
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,46,64,32,53,61,74
LOC101928052,2,1,2,1,1,0
CCDC17,129,173,150,164,154,112
MIR4454,0,0,0,0,0,0
LOC101928081,57,67,40,106,124,92
NAF1,930,1051,1882,885,847,827
NPY1R,3126,2853,1703,1317,1369,1624
NPY5R,399,324,145,276,307,298
TKTL2,0,2,0,4,3,3
TMA16,8416,7558,4126,5084,5654,6027
MARCH1,426,454,298,1049,1164,1084
GPBP1L1,21128,20177,13522,13166,13841,14438
ANP32C,0,0,1,0,2,0
LOC100505989,28,51,59,109,100,82
LOC100506013,15767,13725,7937,4529,5172,5406
RPL26P16,9,8,4,0,1,0
LOC101059914,2,3,0,1,2,1
RPS15AP10,60,70,76,85,89,70
NACA3P,1,1,2,2,1,0
TRIM61,1854,1844,1164,1333,1427,1556
FAM218A,228,246,155,434,483,505
RPL21P51,15,22,6,11,11,18
TRIM60,1,1,1,5,8,1
RPL7AP16,89,115,76,86,100,89
TMEM192,2248,2202,1525,1924,1932,2162
KLHL2,2066,1950,1139,1903,2145,2085
GK3P,19,8,10,73,55,59
MSMO1,41217,36076,20512,14294,15575,17185
CPE,3666,3334,1996,1823,1981,2106
MIR578,0,0,0,0,0,0
HADHAP1,11,9,8,68,80,44
LOC402191,0,0,0,0,0,0
TMEM69,5234,4651,3032,2241,2417,2594
LOC101928151,42,45,50,94,117,103
LOC101928131,19,15,14,25,32,28
TLL1,195,177,105,129,110,129
SPOCK3,30,31,12,48,62,39
ANXA10,8,2,3,1,7,4
DDX60,453,332,222,1293,1441,1543
DDX60L,49,31,35,133,164,154
LOC100506504,186,194,219,224,218,169
IPP,631,562,383,572,560,627
PALLD,3849,3627,2678,6394,6425,6384
RPL9P16,0,0,0,2,5,4
LOC101928172,53,81,51,107,129,90
CBR4,5406,5122,3105,4341,4723,4948
SH3RF1,3230,3013,2331,3514,3442,3440
RPL6P12,2,1,3,5,8,6
NEK1,2996,2916,2531,2905,2990,3034
CLCN3,9162,8711,5733,11907,12449,13289
RPL6P1,0,0,0,0,1,0
C4orf27,4220,3922,2283,2387,2723,2942
LOC100506085,226,289,227,463,410,371
MFAP3L,1462,1396,989,645,688,687
LOC101928198,0,0,0,0,1,0
AADAT,909,979,700,1000,971,1145
LOC101928223,36,29,7,86,93,103
LOC100506107,0,0,0,0,0,0
MAST2,6435,6400,5863,3313,3262,3081
LOC100506122,0,2,2,3,4,5
LOC101929135,0,0,0,0,0,0
LOC101928288,84,105,33,73,65,85
LOC441052,15,10,7,12,22,30
