"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX11L1",57.1540567556714,1.17955899644885,0.341061818047138,3.4584903206193,0.000543211791335736,0.00142272856459755
"WASH7P",1752.35370305644,0.358269634751371,0.112068388550155,3.19688396867623,0.00138920796118908,0.00340571633732587
"MMACHC",1370.01784565401,-0.227139610725104,0.0894373836941419,-2.53964954410872,0.011096359586097,0.0230382397996653
"LRAT",5820.19876530065,-0.681680130359881,0.175996083291651,-3.87326875468155,0.000107385296276701,0.000311369843584611
"NPY2R",131.481954166989,-0.924110257368867,0.203151852771952,-4.54886453044671,5.393614876941e-06,1.82989170533753e-05
"MAP9",3865.00035259224,-0.3814173928213,0.168806041868318,-2.25950083658045,0.0238522483275981,0.0460631498683417
"PRDX1",70704.9227945791,-1.02892859408301,0.119878396689498,-8.58310273157952,9.23478148267176e-18,7.44348377071932e-17
"GUCY1A3",8.721699221013,3.11072593999707,0.967806474303903,3.21420244913578,0.00130807410206536,0.00321945900125231
"CTSO_variant1",139.809985622288,1.16435379965689,0.201795377834101,5.76997259379312,7.92844257685914e-09,3.56372331540487e-08
"PDGFC",285.53230799834,-0.657361209756874,0.148126200863143,-4.4378456068297,9.0863754914073e-06,3.00229515165471e-05
"GLRB",115.123521692511,1.69072018773324,0.210148550033479,8.0453573791677,8.59940980889232e-16,6.26306557128884e-15
"GRIA2",9.6578596910619,-4.54731462600498,1.7072491830667,-2.66353305135969,0.00773248153203733,0.0165984608891788
"AKR1A1",14004.128911091,0.279579899889154,0.103129447974745,2.71096088827722,0.00670885392637115,0.0145850940630373
"TMEM144",579.679397696615,-0.577756911102625,0.111831679208528,-5.16630810868275,2.38763086279651e-07,9.29629889398406e-07
"RXFP1",29.1086544296412,-4.60490553981823,0.61006767871196,-7.54818801340304,4.41355481671915e-14,2.89003494518717e-13
"C4orf46",6379.05611504551,0.412825050266079,0.0734066371927841,5.62381095297824,1.86790062417263e-08,8.09145780215054e-08
"ETFDH",1424.91511542387,-0.634484468282,0.0904213620084215,-7.01697534950763,2.26722589712444e-12,1.32919984825377e-11
"FNIP2",2190.00495448395,-0.700043831173437,0.163648921449375,-4.2777173535482,1.8881955834917e-05,6.01523853117214e-05
"RAPGEF2",10880.1870881707,-0.345638608328678,0.0700325796219567,-4.93539735640857,7.99877394874215e-07,2.95259629269722e-06
"FSTL5",30.0952880130135,-2.72251618892971,0.432767206195955,-6.29094845901277,3.155320952863e-10,1.59021866595741e-09
"NAF1",1169.5939721231,-1.06724643538588,0.265377735900887,-4.02161255827606,5.78010759492019e-05,0.000173389998029352
"NPY5R",190.362550579341,0.692438276531635,0.162880493464942,4.25120443707812,2.12623970875761e-05,6.74080735921076e-05
"MARCH1",757.973189589866,-0.660567311282661,0.228858882686529,-2.88635207656523,0.00389735904633538,0.00886707536867833
"GPBP1L1",16826.2577317644,0.358393419258396,0.071757730102451,4.99449214386666,5.89907927249783e-07,2.20737567295808e-06
"LOC100506013",8964.16783143595,-4.61376623379907,0.118629697250902,-38.8921689991414,0,0
"RPS15AP10",61.6812103740399,0.938163283847657,0.286008398468229,3.28019487844471,0.0010373540495844,0.0025992853788076
"TRIM61",1275.36374518435,-0.292359016405502,0.103917236467353,-2.81338328793367,0.00490231786547752,0.0109519778308955
"RPL7AP16",90.0674396090089,0.582151381444531,0.222129253027026,2.62077764864991,0.00877294602191035,0.0186197706518177
"MSMO1",13208.1792607479,-1.80135321988698,0.116422845404286,-15.4725063936693,5.3194906794761e-54,1.40276146569847e-52
"CPE",3569.46239382357,0.392524956767937,0.0844937847838639,4.64560745825294,3.39077215416918e-06,1.17751615931482e-05
"TMEM69",3772.05553450302,-0.403481487562186,0.162283350142445,-2.48627778024073,0.0129087161326359,0.0264181189310315
"TLL1",52.8099152847821,-3.11993115795142,0.362070368517949,-8.61691933179213,6.87795546185003e-18,5.59891206726749e-17
"DDX60",1570.70422469266,1.58620256439649,0.100735264794796,15.7462490184315,7.28778250696182e-56,2.02145349283051e-54
"DDX60L",270.237353078901,2.0291412338129,0.159439101340833,12.7267478099692,4.19970720024108e-37,7.152873627857e-36
"IPP",919.617244180355,1.34351412117025,0.225162364573388,5.96686805859313,2.41850818544091e-09,1.13484642341194e-08
"PALLD",8731.22476663441,-0.772747729394672,0.258792223327251,-2.98597739707776,0.00282673535728606,0.00658090302737207
"LOC101928172",61.7216224073222,-1.43025202778343,0.265862015552428,-5.37967796870697,7.4619196325684e-08,3.05564501498021e-07
"CBR4",4312.09186413664,0.815880445059273,0.154524516759835,5.2799417346008,1.29224973095678e-07,5.17057700318104e-07
"SH3RF1",3509.67023563861,0.592213645446312,0.141680991908602,4.17990894521932,2.91625841817888e-05,9.0688059861555e-05
"NEK1",3115.59690918402,0.732745772613262,0.326108108030689,2.2469412890044,0.0246437795161639,0.0473822892010334
"CLCN3",10168.4909008223,0.392031274611686,0.162653324106638,2.4102260237526,0.0159426403843857,0.0319779989099723
"C4orf27",3847.65138812433,1.27198501946999,0.193523784259724,6.57275809449286,4.93916686234861e-11,2.65135043612291e-10
"LOC100506085",136.336230373052,-1.29135884839586,0.180133350812942,-7.16890482838384,7.56000870574679e-13,4.57862634461726e-12
"MFAP3L",1364.33183284221,0.379811813404381,0.10564489855679,3.59517419764678,0.000324174591726526,0.000879451914545197
"LOC101928223",21.7628991932488,-1.17057392562745,0.424973667747133,-2.7544622513505,0.00587886712080058,0.0129037736535274
"LOC100506122",1.84968350542789,-4.73840518849961,1.86992007211305,-2.53401482724612,0.0112763960212517,0.0233805483712269
"LOC101928288",34.9330737696106,-2.39895392875169,0.385459918007387,-6.22361448410238,4.85830008498835e-10,2.41104991070602e-09
"GALNTL6",6.76105877455012,-3.30837626597087,0.951712819952648,-3.47623379302118,0.000508508782490452,0.0013375847673497
"GALNT7",12919.1606823496,-0.88624639473356,0.207944426355275,-4.2619386836529,2.02661055635383e-05,6.43741104012924e-05
"HMGB2",48082.2162568343,0.820419942479665,0.0747080514520884,10.9816803749167,4.68133839635746e-28,5.87959952301494e-27
"SAP30",1769.57170641164,0.551476102311158,0.0915345479231884,6.02478643117276,1.69333072022361e-09,8.05399833759776e-09
"LOC101928409",6.83330461422176,2.44396896345877,0.909356545552597,2.68758054847851,0.0071971741456797,0.0155287113386503
"PIK3R3",5741.59558601436,2.10532307781879,0.186830299913725,11.2686383246775,1.87446299969189e-29,2.47523547344704e-28
"FBXO8",1097.12977326902,0.520339405305947,0.12686693814787,4.10145789677264,4.10555216671304e-05,0.000125527508916228
