Module,Gene
Module_29124,PLEKHG4B
Module_29124,CCDC127
Module_29124,SDHA
Module_29124,PDCD6
Module_17289,MIER2
Module_17289,WASH5P
Module_17289,LINC01002
Module_22231,RBCK1
Module_22233,RBCK1
Module_22231,C20orf96
Module_22233,C20orf96
Module_22231,NRSN2
Module_22233,NRSN2
Module_22231,SOX12
Module_22233,SOX12
Module_22231,TBC1D20
Module_22233,TBC1D20
Module_22231,TRIB3
Module_22233,TRIB3
Module_12872,DECR2
Module_12872,MRPL28
Module_12872,NME4
Module_12872,TMEM8A
Module_12872,RAB11FIP3
Module_12872,AXIN1
Module_17298,CDC34
Module_17298,TPGS1
Module_17298,SHC2
Module_17298,C2CD4C
Module_17298,BSG
Module_7594,KDM5A
Module_7594,CCDC77
Module_7594,B4GALNT3
Module_7594,LOC100049716
Module_5502,DRD4
Module_5503,DRD4
Module_5502,IRF7
Module_5503,IRF7
Module_5502,TMEM80
Module_5503,TMEM80
Module_5514,TMEM80
Module_5516,TMEM80
Module_5502,EPS8L2
Module_5503,EPS8L2
Module_5514,EPS8L2
Module_5516,EPS8L2
Module_5502,DEAF1
Module_5503,DEAF1
Module_5514,DEAF1
Module_5516,DEAF1
Module_5503,PHRF1
Module_33302,PRKAR1B
Module_19434,TMEM18
Module_5514,PDDC1
Module_5516,PDDC1
Module_5514,TALDO1
Module_5515,TALDO1
Module_5516,TALDO1
Module_5532,POLR2L
Module_5532,TSPAN4
Module_19445,LOC101060391
Module_19445,SNTG2
Module_33322,COX19
Module_33334,COX19
Module_33322,GET4
Module_33322,ADAP1
Module_33334,ADAP1
Module_27482,DGKQ
Module_27482,FGFRL1
Module_33334,C7orf50
Module_33334,ZFAND2A
Module_33334,LOC101927021
Module_17370,POLR2E
Module_17370,ABCA7
Module_17370,GPX4
Module_12927,CACNA1H
Module_17388,EFNA2
Module_17388,CIRBP
Module_17388,CIRBP-AS1
Module_17388,STK11
Module_17388,C19orf24
Module_17388,MIDN
Module_17388,ATP5D
Module_17388,SBNO2
Module_22278,SDCBP2
Module_22278,SNPH
Module_22278,FKBP1A
Module_22278,TMEM74B
Module_17409,DAZAP1
Module_17409,GAMT
Module_17409,RPS15
Module_17409,NDUFS7
Module_12944,C16orf91
Module_12944,UNKL
Module_12944,GNPTG
Module_12944,TSR3
Module_12944,BAIAP3
Module_12944,UBE2I
Module_12944,CLCN7
Module_14450,INPP5K
Module_14450,RILP
Module_14450,SLC43A2
Module_14450,PITPNA-AS1
Module_33383,MAFK
Module_19461,PXDN
Module_35497,ARHGEF10
Module_35497,CLN8
Module_35497,KBTBD11
Module_35497,LOC101927752
Module_27505,FGFR3
Module_27514,FGFR3
Module_27505,TMEM129
Module_27505,SLBP
Module_27505,LETM1
Module_27514,LETM1
Module_17447,ADAT3
Module_17448,ADAT3
Module_17449,ADAT3
Module_17451,ADAT3
Module_17447,ATP8B3
Module_17447,REXO1
Module_17448,REXO1
Module_17449,REXO1
Module_17447,KLF16
Module_17448,KLF16
Module_17449,KLF16
Module_17448,CSNK1G2
Module_27514,C4orf48
Module_27514,NELFA
