Chrom	Start	End	Module	Gene
chr5	91786	93029	Module_29124	CCDC127
chr5	91786	93029	Module_29124	PLEKHG4B
chr5	91786	93029	Module_29124	SDHA
chr19	290192	290926	Module_17289	MIER2
chr19	290192	290926	Module_17289	WASH5P
chr20	306811	308233	Module_22231	SOX12
chr20	328125	328947	Module_22233	SOX12
chr20	306811	308233	Module_22231	C20orf96
chr20	328125	328947	Module_22233	C20orf96
chr20	306811	308233	Module_22231	TRIB3
chr20	328125	328947	Module_22233	TRIB3
chr20	328125	328947	Module_22233	RBCK1
chr20	306811	308233	Module_22231	NRSN2
chr20	328125	328947	Module_22233	NRSN2
chr20	328125	328947	Module_22233	TBC1D20
chr16	433610	434292	Module_12872	AXIN1
chr16	433610	434292	Module_12872	NME4
chr16	433610	434292	Module_12872	DECR2
chr16	433610	434292	Module_12872	MRPL28
chr16	433610	434292	Module_12872	RAB11FIP3
chr16	433610	434292	Module_12872	TMEM8A
chr19	488543	489511	Module_17298	TPGS1
chr19	488543	489511	Module_17298	CDC34
chr19	488543	489511	Module_17298	SHC2
chr19	488543	489511	Module_17298	BSG
chr12	618796	619809	Module_7594	CCDC77
chr12	618796	619809	Module_7594	B4GALNT3
chr12	618796	619809	Module_7594	KDM5A
chr11	638116	639186	Module_5502	IRF7
chr11	743674	744222	Module_5514	DEAF1
chr11	743674	744222	Module_5514	EPS8L2
chr11	743674	744222	Module_5514	TMEM80
chr7	704820	705821	Module_33302	PRKAR1B
chr2	729363	729912	Module_19434	TMEM18
chr11	743674	744222	Module_5514	PDDC1
chr11	743674	744222	Module_5514	TALDO1
chr2	920808	921409	Module_19445	LOC101060391
chr2	920808	921409	Module_19445	SNTG2
chr7	984949	985787	Module_33322	COX19
chr7	1067139	1068220	Module_33334	COX19
chr7	984949	985787	Module_33322	ADAP1
chr7	1067139	1068220	Module_33334	ADAP1
chr7	984949	985787	Module_33322	GET4
chr4	1037365	1037958	Module_27482	FGFRL1
chr7	1067139	1068220	Module_33334	C7orf50
chr7	1067139	1068220	Module_33334	ZFAND2A
chr19	1070662	1071730	Module_17370	ABCA7
chr19	1070662	1071730	Module_17370	POLR2E
chr19	1070662	1071730	Module_17370	GPX4
chr16	1195155	1195937	Module_12927	CACNA1H
chr19	1249193	1249912	Module_17388	CIRBP-AS1
chr19	1249193	1249912	Module_17388	ATP5D
chr19	1249193	1249912	Module_17388	EFNA2
chr19	1249193	1249912	Module_17388	MIDN
chr19	1249193	1249912	Module_17388	CIRBP
chr19	1249193	1249912	Module_17388	STK11
chr19	1249193	1249912	Module_17388	C19orf24
chr20	1281468	1282183	Module_22278	SDCBP2
chr20	1281468	1282183	Module_22278	TMEM74B
chr20	1281468	1282183	Module_22278	FKBP1A
chr16	1429103	1430152	Module_12944	GNPTG
chr16	1429103	1430152	Module_12944	TSR3
chr16	1429103	1430152	Module_12944	UNKL
chr16	1429103	1430152	Module_12944	C16orf91
chr17	1488812	1489506	Module_14450	PITPNA-AS1
chr17	1488812	1489506	Module_14450	RILP
chr17	1488812	1489506	Module_14450	INPP5K
chr17	1488812	1489506	Module_14450	SLC43A2
chr7	1616347	1616879	Module_33383	MAFK
chr2	1746682	1747737	Module_19461	PXDN
chr8	1750233	1751300	Module_35497	LOC101927752
chr8	1750233	1751300	Module_35497	KBTBD11
chr8	1750233	1751300	Module_35497	ARHGEF10
chr8	1750233	1751300	Module_35497	CLN8
chr4	1768241	1770142	Module_27505	SLBP
chr4	1768241	1770142	Module_27505	FGFR3
chr4	1871845	1874063	Module_27514	FGFR3
chr4	1768241	1770142	Module_27505	TMEM129
chr4	1768241	1770142	Module_27505	LETM1
chr4	1871845	1874063	Module_27514	LETM1
chr19	1864125	1864671	Module_17447	ATP8B3
chr19	1864125	1864671	Module_17447	KLF16
chr19	1875902	1876664	Module_17449	KLF16
chr19	1864125	1864671	Module_17447	ADAT3
chr19	1875902	1876664	Module_17449	ADAT3
chr19	1864125	1864671	Module_17447	REXO1
chr19	1875902	1876664	Module_17449	REXO1
chr4	1871845	1874063	Module_27514	C4orf48
chr4	1871845	1874063	Module_27514	NELFA
chr17	1902985	1903504	Module_14468	DPH1
chr17	1902985	1903504	Module_14468	OVCA2
