Chrom	Start	End	Module	Gene	Sample
chr5	91786	93029	Module_29124	CCDC127	24h_sample
chr5	91786	93029	Module_29124	CCDC127	0h_sample
chr5	91786	93029	Module_29124	CCDC127	72h_sample
chr5	91786	93029	Module_29124	CCDC127	12h_sample
chr5	91786	93029	Module_29124	CCDC127	3h_sample
chr5	91786	93029	Module_29124	PLEKHG4B	24h_sample
chr5	91786	93029	Module_29124	PLEKHG4B	48h_sample
chr5	91786	93029	Module_29124	PLEKHG4B	0h_sample
chr5	91786	93029	Module_29124	PLEKHG4B	72h_sample
chr5	91786	93029	Module_29124	PLEKHG4B	12h_sample
chr5	91786	93029	Module_29124	PLEKHG4B	6h_sample
chr5	91786	93029	Module_29124	PLEKHG4B	3h_sample
chr5	91786	93029	Module_29124	SDHA	24h_sample
chr5	91786	93029	Module_29124	SDHA	0h_sample
chr5	91786	93029	Module_29124	SDHA	72h_sample
chr5	91786	93029	Module_29124	SDHA	12h_sample
chr5	91786	93029	Module_29124	SDHA	3h_sample
chr5	91786	93029	Module_29124	PDCD6	0h_sample
chr5	91786	93029	Module_29124	PDCD6	72h_sample
chr5	91786	93029	Module_29124	PDCD6	12h_sample
chr19	290192	290926	Module_17289	MIER2	0h_sample
chr19	290192	290926	Module_17289	MIER2	48h_sample
chr19	290192	290926	Module_17289	MIER2	24h_sample
chr19	290192	290926	Module_17289	MIER2	3h_sample
chr19	290192	290926	Module_17289	MIER2	12h_sample
chr19	290192	290926	Module_17289	MIER2	6h_sample
chr19	290192	290926	Module_17289	WASH5P	0h_sample
chr19	290192	290926	Module_17289	WASH5P	24h_sample
chr19	290192	290926	Module_17289	WASH5P	3h_sample
chr19	290192	290926	Module_17289	WASH5P	12h_sample
chr19	290192	290926	Module_17289	WASH5P	6h_sample
chr19	290192	290926	Module_17289	LINC01002	3h_sample
chr19	290192	290926	Module_17289	LINC01002	6h_sample
chr20	306811	308233	Module_22231	SOX12	6h_sample
chr20	306811	308233	Module_22231	SOX12	48h_sample
chr20	306811	308233	Module_22231	SOX12	3h_sample
chr20	306811	308233	Module_22231	SOX12	24h_sample
chr20	306811	308233	Module_22231	SOX12	0h_sample
chr20	306811	308233	Module_22231	SOX12	12h_sample
chr20	306811	308233	Module_22231	SOX12	72h_sample
chr20	328125	328947	Module_22233	SOX12	72h_sample
chr20	328125	328947	Module_22233	SOX12	48h_sample
chr20	328125	328947	Module_22233	SOX12	3h_sample
chr20	328125	328947	Module_22233	SOX12	24h_sample
chr20	328125	328947	Module_22233	SOX12	0h_sample
chr20	328125	328947	Module_22233	SOX12	6h_sample
chr20	328125	328947	Module_22233	SOX12	12h_sample
chr20	306811	308233	Module_22231	C20orf96	6h_sample
chr20	306811	308233	Module_22231	C20orf96	3h_sample
chr20	306811	308233	Module_22231	C20orf96	24h_sample
chr20	306811	308233	Module_22231	C20orf96	0h_sample
chr20	306811	308233	Module_22231	C20orf96	72h_sample
chr20	328125	328947	Module_22233	C20orf96	72h_sample
chr20	328125	328947	Module_22233	C20orf96	3h_sample
chr20	328125	328947	Module_22233	C20orf96	24h_sample
chr20	328125	328947	Module_22233	C20orf96	0h_sample
chr20	328125	328947	Module_22233	C20orf96	6h_sample
chr20	306811	308233	Module_22231	TRIB3	6h_sample
chr20	306811	308233	Module_22231	TRIB3	48h_sample
chr20	306811	308233	Module_22231	TRIB3	3h_sample
chr20	306811	308233	Module_22231	TRIB3	24h_sample
chr20	306811	308233	Module_22231	TRIB3	0h_sample
chr20	306811	308233	Module_22231	TRIB3	12h_sample
chr20	328125	328947	Module_22233	TRIB3	48h_sample
chr20	328125	328947	Module_22233	TRIB3	3h_sample
chr20	328125	328947	Module_22233	TRIB3	24h_sample
chr20	328125	328947	Module_22233	TRIB3	0h_sample
chr20	328125	328947	Module_22233	TRIB3	6h_sample
chr20	328125	328947	Module_22233	TRIB3	12h_sample
chr20	306811	308233	Module_22231	RBCK1	6h_sample
chr20	306811	308233	Module_22231	RBCK1	48h_sample
chr20	306811	308233	Module_22231	RBCK1	3h_sample
chr20	306811	308233	Module_22231	RBCK1	0h_sample
chr20	306811	308233	Module_22231	RBCK1	72h_sample
chr20	328125	328947	Module_22233	RBCK1	72h_sample
chr20	328125	328947	Module_22233	RBCK1	48h_sample
chr20	328125	328947	Module_22233	RBCK1	3h_sample
chr20	328125	328947	Module_22233	RBCK1	24h_sample
chr20	328125	328947	Module_22233	RBCK1	0h_sample
chr20	328125	328947	Module_22233	RBCK1	6h_sample
chr20	328125	328947	Module_22233	RBCK1	12h_sample
chr20	306811	308233	Module_22231	NRSN2	6h_sample
chr20	306811	308233	Module_22231	NRSN2	48h_sample
chr20	306811	308233	Module_22231	NRSN2	3h_sample
chr20	306811	308233	Module_22231	NRSN2	24h_sample
chr20	306811	308233	Module_22231	NRSN2	0h_sample
chr20	306811	308233	Module_22231	NRSN2	12h_sample
chr20	306811	308233	Module_22231	NRSN2	72h_sample
chr20	328125	328947	Module_22233	NRSN2	72h_sample
chr20	328125	328947	Module_22233	NRSN2	48h_sample
chr20	328125	328947	Module_22233	NRSN2	3h_sample
chr20	328125	328947	Module_22233	NRSN2	24h_sample
chr20	328125	328947	Module_22233	NRSN2	0h_sample
chr20	328125	328947	Module_22233	NRSN2	6h_sample
chr20	328125	328947	Module_22233	NRSN2	12h_sample
chr20	306811	308233	Module_22231	TBC1D20	6h_sample
chr20	306811	308233	Module_22231	TBC1D20	3h_sample
chr20	328125	328947	Module_22233	TBC1D20	72h_sample
chr20	328125	328947	Module_22233	TBC1D20	48h_sample
chr20	328125	328947	Module_22233	TBC1D20	3h_sample
chr20	328125	328947	Module_22233	TBC1D20	24h_sample
chr20	328125	328947	Module_22233	TBC1D20	0h_sample
chr20	328125	328947	Module_22233	TBC1D20	6h_sample
chr20	328125	328947	Module_22233	TBC1D20	12h_sample
chr16	433610	434292	Module_12872	AXIN1	3h_sample
chr16	433610	434292	Module_12872	AXIN1	24h_sample
chr16	433610	434292	Module_12872	AXIN1	12h_sample
chr16	433610	434292	Module_12872	AXIN1	0h_sample
chr16	433610	434292	Module_12872	AXIN1	6h_sample
chr16	433610	434292	Module_12872	NME4	3h_sample
chr16	433610	434292	Module_12872	NME4	24h_sample
chr16	433610	434292	Module_12872	NME4	12h_sample
chr16	433610	434292	Module_12872	NME4	0h_sample
