Chrom	Start	End	Module
chr2	10468	10968	Module_19414
chr2	11198	11766	Module_19415
chr17	13081	13581	Module_14386
chr17	14398	14898	Module_14387
chr17	20202	20702	Module_14388
chr17	30000	30874	Module_14389
chr17	31960	32623	Module_14390
chr2	38228	38728	Module_19416
chr2	45417	45917	Module_19417
chr17	48973	49473	Module_14391
chr17	49958	50638	Module_14392
chr17	54540	55388	Module_14393
chr2	64877	65573	Module_19418
chr17	65340	66402	Module_14394
chr9	72939	73632	Module_37075
chr2	80227	80834	Module_19419
chr5	90916	91486	Module_29123
chr5	91786	93029	Module_29124
chr5	94044	94544	Module_29125
chr7	96838	97451	Module_33277
chr5	102710	103409	Module_29126
chr5	106707	107207	Module_29127
chr4	107337	107837	Module_27429
chr5	111318	111818	Module_29128
chr9	113369	113983	Module_37076
chr9	114412	114912	Module_37077
chr16	115597	116240	Module_12851
chr7	119608	120237	Module_33278
chr10	119746	120264	Module_3775
chr7	120533	121604	Module_33279
chr16	121201	121864	Module_12852
chr7	121434	121934	Module_33280
chr16	121486	121986	Module_12853
chr4	125329	125829	Module_27430
chr5	128400	128900	Module_29129
chr5	129308	130288	Module_29130
chr7	131183	131725	Module_33281
chr16	134114	134614	Module_12854
chr7	139136	140080	Module_33282
chr5	141985	142485	Module_29131
chr16	146793	147293	Module_12855
chr2	151693	152264	Module_19420
chr5	154163	154729	Module_29132
chr7	156300	156869	Module_33283
chr5	158984	159543	Module_29133
chr5	162197	162697	Module_29134
chr5	167700	168501	Module_29135
chr17	170605	171279	Module_14395
chr7	173172	173672	Module_33284
chr17	173363	173863	Module_14396
chr10	180962	182423	Module_3776
chr17	183769	184316	Module_14397
chr17	185240	185740	Module_14398
chr5	186922	187422	Module_29136
chr7	187084	187584	Module_33285
chr12	187134	187642	Module_7573
chr5	188632	189310	Module_29137
chr7	188814	189598	Module_33286
chr7	191820	192465	Module_33287
chr7	193597	194833	Module_33288
chr18	195530	196030	Module_16497
chr17	198494	198994	Module_14399
chr5	200446	200946	Module_29138
chr16	204144	204945	Module_12856
chr4	207215	207715	Module_27431
chr7	207389	208196	Module_33289
chr12	207902	208611	Module_7574
chr11	208345	209136	Module_5454
chr12	211297	211797	Module_7575
chr12	212168	212708	Module_7576
chr12	213892	214660	Module_7577
chr9	214692	215335	Module_37078
chr16	214925	215465	Module_12857
chr8	215411	216088	Module_35464
chr12	219049	219549	Module_7578
chr6	219724	220251	Module_31171
chr7	220373	221064	Module_33290
chr9	222739	223239	Module_37079
chr6	223039	223539	Module_31172
chr8	224204	224704	Module_35465
chr17	227798	228298	Module_14400
chr16	230898	231688	Module_12858
chr17	232213	232808	Module_14401
chr17	233797	234297	Module_14402
chr3	234080	234633	Module_25040
chr17	234947	236319	Module_14403
chr6	235879	236417	Module_31173
chr17	235919	236446	Module_14404
chr6	236075	236740	Module_31174
chr17	236304	236975	Module_14405
chr6	236574	237074	Module_31175
chr3	239530	240165	Module_25041
chr6	240299	240799	Module_31176
chr20	247324	248026	Module_22221
chr12	247862	248758	Module_7579
chr12	248891	249391	Module_7580
chr11	250544	251176	Module_5455
chr12	252023	252523	Module_7581
chr12	253117	253617	Module_7582
chr3	258803	259303	Module_25042
chr20	258910	260248	Module_22222
chr12	262137	262797	Module_7583
chr19	267074	267686	Module_17284
chr11	267812	268312	Module_5456
chr11	268785	269328	Module_5457
chr3	271494	271994	Module_25043
chr17	271995	272718	Module_14406
chr17	276867	277766	Module_14407
chr19	277614	278212	Module_17285
chr12	278262	278762	Module_7584
chr20	278885	279385	Module_22223
chr12	279261	279910	Module_7585
chr19	280559	281065	Module_17286
chr20	280912	281412	Module_22224
chr20	281513	282267	Module_22225
chr11	282676	283176	Module_5458
chr20	282850	283359	Module_22226
chr11	284025	284525	Module_5459
chr2	284106	284786	Module_19421
chr16	285093	285738	Module_12859
chr11	287865	288476	Module_5460
chr12	288258	288758	Module_7586
chr2	288853	290173	Module_19422
chr19	289719	290219	Module_17287
chr2	289724	290224	Module_19423
chr19	289747	290247	Module_17288
chr2	289904	290404	Module_19424
chr19	290192	290926	Module_17289
chr20	290661	291439	Module_22227
chr11	291330	291967	Module_5461
chr19	294897	295575	Module_17290
chr11	296892	297392	Module_5462
chr11	297701	298268	Module_5463
chr12	297914	298529	Module_7587
chr11	298174	298674	Module_5464
chr4	298918	299583	Module_27432
chr11	300146	300817	Module_5465
chr11	304459	304959	Module_5466
chr18	304613	305276	Module_16498
chr20	304810	305336	Module_22228
chr18	304845	305345	Module_16499
chr20	304858	305358	Module_22229
chr18	304893	305393	Module_16500
chr20	304895	305395	Module_22230
chr18	304897	305412	Module_16501
chr11	304981	305728	Module_5467
chr5	305327	305827	Module_29139
chr11	305447	306130	Module_5468
chr11	306755	307255	Module_5469
chr20	306811	308233	Module_22231
chr2	309106	309833	Module_19425
chr20	311068	311568	Module_22232
chr18	312275	312841	Module_16502
chr11	314874	315374	Module_5470
chr11	315811	316482	Module_5471
chr5	317013	317575	Module_29140
chr2	317257	317757	Module_19426
chr5	317265	317829	Module_29141
chr2	317443	318102	Module_19427
chr16	319270	319770	Module_12860
chr5	320724	322132	Module_29142
chr11	326387	326887	Module_5472
chr9	326427	326927	Module_37080
chr11	326461	326961	Module_5473
chr9	326489	326992	Module_37081
chr20	328125	328947	Module_22233
chr16	328788	329288	Module_12861
chr12	328866	329508	Module_7588
chr11	329203	329984	Module_5474
chr4	330075	330884	Module_27433
chr9	331086	331586	Module_37082
chr11	334053	334907	Module_5475
chr8	334715	335215	Module_35466
chr20	335039	335711	Module_22234
chr12	338706	339206	Module_7589
chr5	343943	344536	Module_29143
chr19	348188	348688	Module_17291
chr11	350885	351385	Module_5476
chr20	352449	352988	Module_22235
chr11	355776	356432	Module_5477
chr20	362253	363123	Module_22236
chr11	364247	364929	Module_5478
chr11	368345	368919	Module_5479
chr5	373305	374346	Module_29144
chr18	376949	377576	Module_16503
chr20	380851	381383	Module_22237
chr11	390021	390521	Module_5480
