,statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red
controls_seq1_[chr1:33829580-33829750],42.68037416,1.35E-07,1.34E-06,6,98,18,12
controls_seq10_[chr10:119590476-119590646],12.07617305,0.060290892,0.143218161,6,83,18,12
controls_seq100_[chr9:84264438-84264608],10.14737628,0.118581316,0.241699026,6,72,18,12
controls_seq101_[chr9:84266027-84266197],2.164092058,0.904005231,0.938530762,6,85,18,12
controls_seq102_[chr9:92292937-92293107],12.48853394,0.051916556,0.12665463,6,91,18,12
controls_seq103_[chr9:98258408-98258578],4.863081256,0.56149029,0.702918295,6,87,18,12
controls_seq104_[chr9:133540972-133541142],3.982612855,0.679029496,0.793944151,6,87,18,12
controls_seq105_[chrX:25017670-25017840],5.100229515,0.531023799,0.679121231,6,82,18,12
controls_seq106_[chrX:150408354-150408524],18.88292074,0.004365999,0.016199195,6,81,18,12
controls_seq107_[chr1:66733418-66733588],9.105858124,0.16771163,0.310482128,6,84,18,12
controls_seq108_[chr1:159898949-159899119],12.73077166,0.047516207,0.11808132,6,99,18,12
controls_seq109_[chr1:188148829-188148999],8.321842965,0.21545966,0.370551669,6,45,18,12
controls_seq11_[chr10:130832402-130832572],5.269323093,0.509763196,0.659232143,6,84,18,12
controls_seq110_[chr2:30607896-30608066],6.847054914,0.335223485,0.499728592,6,63,18,12
controls_seq111_[chr2:49417020-49417190],6.657329716,0.35370226,0.521393638,6,73,18,12
controls_seq112_[chr2:97532825-97532995],14.33915585,0.026068732,0.073256437,6,98,18,12
controls_seq113_[chr2:124865922-124866092],4.457995376,0.61494889,0.746353299,6,79,18,12
controls_seq114_[chr2:168155199-168155369],8.952927712,0.176242742,0.320821736,6,68,18,12
controls_seq115_[chr2:238336578-238336748],10.02672949,0.123530887,0.2481797,6,98,18,12
controls_seq116_[chr3:82377950-82378120],13.2155473,0.039737912,0.10317914,6,66,18,12
controls_seq117_[chr3:117245378-117245548],9.262173906,0.159361579,0.298550807,6,85,18,12
controls_seq118_[chr4:58727439-58727609],3.367002214,0.761572075,0.85101846,6,61,18,12
controls_seq119_[chr5:35831522-35831692],11.21711575,0.081893559,0.182870446,6,78,18,12
controls_seq12_[chr11:8228532-8228702],30.04126665,3.86E-05,0.000247218,6,98,18,12
controls_seq120_[chr5:148012370-148012540],8.034090326,0.235616389,0.393017771,6,83,18,12
controls_seq121_[chr6:102928351-102928521],8.039456524,0.235226853,0.392634296,6,74,18,12
controls_seq122_[chr6:105746721-105746891],2.669357442,0.849053214,0.908019977,6,70,18,12
controls_seq123_[chr6:133693323-133693493],8.770331396,0.186912408,0.334633505,6,81,18,12
controls_seq124_[chr6:145149034-145149204],9.737252361,0.136161933,0.264770357,6,74,18,12
controls_seq125_[chr7:8427199-8427369],31.30285501,2.22E-05,0.000150401,6,88,18,12
controls_seq126_[chr7:38093413-38093583],7.243534692,0.298911397,0.459757484,6,82,18,12
controls_seq127_[chr8:14277683-14277853],18.30739952,0.005508198,0.019696427,6,60,18,12
controls_seq128_[chr8:124244288-124244458],3.29495341,0.771019679,0.858335321,6,81,18,12
controls_seq129_[chr9:93674552-93674722],26.97508744,0.000146372,0.00083857,6,98,18,12
controls_seq13_[chr11:16424668-16424838],44.26901638,6.54E-08,6.78E-07,6,71,18,12
controls_seq130_[chr10:20980634-20980804],21.13628216,0.001733984,0.007332275,6,78,18,12
controls_seq131_[chr12:85445766-85445936],2.529290479,0.865175299,0.917526671,6,68,18,12
controls_seq132_[chr14:37220588-37220758],11.98536801,0.062296023,0.146604776,6,83,18,12
controls_seq133_[chr15:65503508-65503678],8.424624684,0.208614789,0.361816275,6,95,18,12
controls_seq134_[chr17:65009300-65009470],4.745499836,0.576844196,0.714668038,6,99,18,12
controls_seq135_[chr17:70708893-70709063],13.83781614,0.031501259,0.085631994,6,70,18,12
controls_seq136_[chr18:42444601-42444771],22.26846883,0.001082425,0.004870912,6,99,18,12
controls_seq137_[chr19:37958270-37958440],94.40924781,3.67E-18,1.07E-16,6,98,18,12
controls_seq138_[chr19:38887917-38888087],18.42530106,0.005252763,0.018909946,6,97,18,12
controls_seq139_[chr20:57414490-57414660],17.83186748,0.006666394,0.023398253,6,98,18,12
controls_seq14_[chr11:31623505-31623675],2.718692329,0.843234491,0.90397452,6,89,18,12
controls_seq140_[chr22:50861536-50861706],4.70962243,0.581558272,0.718585917,6,93,18,12
controls_seq141_[chrX:15844658-15844828],4.948332134,0.550456834,0.693472342,6,74,18,12
controls_seq142_[chrX:36308908-36309078],1.014238844,0.985066785,0.989151118,6,83,18,12
controls_seq143_[chrX:129251664-129251834],17.77622199,0.006816451,0.023768359,6,99,18,12
controls_seq144_[chr9:110184579-110184749],8.86451796,0.181342079,0.327300337,6,99,18,12
controls_seq145_[chr9:110187482-110187652],17.99186877,0.006252548,0.022061969,6,98,18,12
controls_seq146_[chr9:110200748-110200918],90.50868509,2.38E-17,6.33E-16,6,90,18,12
controls_seq147_[chr9:110227934-110228104],24.04862699,0.00051161,0.002519279,6,99,18,12
controls_seq148_[chr9:110235258-110235428],22.03299032,0.001194318,0.005320506,6,69,18,12
controls_seq149_[chr9:110302072-110302242],13.47301082,0.036110089,0.096004852,6,81,18,12
controls_seq15_[chr11:65255113-65255283],430.8981806,6.33E-90,1.69E-87,6,99,18,12
controls_seq150_[chr9:110399959-110400129],14.76578569,0.022158725,0.064303751,6,98,18,12
controls_seq151_[chr9:110429529-110429699],2.609653359,0.855999516,0.912883391,6,82,18,12
controls_seq152_[chr9:110436861-110437031],2.594922962,0.857696683,0.913961585,6,84,18,12
controls_seq153_[chr9:110512104-110512274],168.1761301,1.10E-33,8.11E-32,6,98,18,12
controls_seq154_[chr9:110634967-110635137],1.854918971,0.932546254,0.958450316,6,89,18,12
controls_seq155_[chr9:110814847-110815017],13.26403923,0.039029425,0.101636742,6,90,18,12
controls_seq156_[chr9:110845685-110845855],5.572619479,0.47272347,0.62841084,6,85,18,12
controls_seq157_[chr9:110857575-110857745],15.55039886,0.01638179,0.049256309,6,86,18,12
controls_seq158_[chr9:110857818-110857988],11.02505285,0.087605223,0.192876292,6,71,18,12
controls_seq159_[chr9:110868339-110868509],10.2730282,0.113615147,0.233722588,6,97,18,12
controls_seq16_[chr11:110001491-110001661],7.140314585,0.3080658,0.470187611,6,93,18,12
controls_seq160_[chr9:110904939-110905109],2.365175015,0.883241072,0.927821063,6,79,18,12
controls_seq161_[chr8:128658425-128658595],15.31130748,0.017968838,0.053306217,6,98,18,12
controls_seq162_[chr8:128822479-128822649],54.22992738,6.63E-10,8.66E-09,6,79,18,12
controls_seq163_[chr8:128830575-128830745],2.034995252,0.916452101,0.946656998,6,81,18,12
controls_seq164_[chr8:128835384-128835554],24.82635625,0.000367676,0.001876418,6,93,18,12
controls_seq165_[chr8:128011024-128011194],22.32727416,0.001056128,0.004778951,6,86,18,12
controls_seq166_[chr8:128056092-128056262],3.70889337,0.716001333,0.81688546,6,80,18,12
controls_seq167_[chr8:128219359-128219529],13.73273107,0.032768446,0.088624508,6,95,18,12
controls_seq168_[chr8:128264412-128264582],6.246273047,0.396175576,0.561709813,6,87,18,12
controls_seq169_[chr8:128284888-128285058],12.12656185,0.059204194,0.14132614,6,84,18,12
controls_seq17_[chr12:17173796-17173966],9.19908789,0.162687209,0.303288121,6,82,18,12
controls_seq170_[chr8:128413025-128413195],24.8949098,0.000357095,0.001829427,6,53,18,12
controls_seq171_[chr6:30646854-30647024],16.87385886,0.009758184,0.031935876,6,98,18,12
controls_seq172_[chr6:30796445-30796615],13.1058121,0.041386079,0.106216295,6,86,18,12
controls_seq173_[chr6:31025872-31026042],3.658871474,0.722726455,0.821392183,6,88,18,12
controls_seq174_[chr6:31126527-31126697],9.020177984,0.172446452,0.317449204,6,93,18,12
controls_seq175_[chr6:31138412-31138582],27.00293797,0.000144624,0.000831618,6,99,18,12
controls_seq176_[chr6:31139636-31139806],34.90768622,4.49E-06,3.59E-05,6,98,18,12
controls_seq177_[chr6:31140805-31140975],38.67396095,8.29E-07,7.36E-06,6,99,18,12
controls_seq178_[chr12:7941826-7941996],8.290054517,0.217614003,0.37329279,6,83,18,12
controls_seq179_[chr12:7940245-7940415],13.34426928,0.037883268,0.099429581,6,88,18,12
controls_seq18_[chr12:114101974-114102144],22.34036822,0.001050358,0.004766871,6,83,18,12
controls_seq180_[chr9:110252111-110252281],21.59510549,0.001433328,0.006229013,6,87,18,12
controls_seq181_[chr8:128746291-128746461],21.5050496,0.001488001,0.00643512,6,98,18,12
controls_seq182_[chr8:128748377-128748547],22.89822373,0.000831293,0.003858124,6,99,18,12
controls_seq183_[chr8:128806604-128806774],8.139524095,0.228058635,0.385255677,6,39,18,12
controls_seq184_[chr12:7940297-7940467],19.57421352,0.003296172,0.01274456,6,99,18,12
controls_seq185_[chr11:31832761-31832931],29.10018655,5.82E-05,0.000362488,6,99,18,12
controls_seq186_[chrctrl5:1-171],3.775579707,0.707015639,0.813251149,6,83,18,12
controls_seq187_[chr2:133346944-133347114],3.960557204,0.682014244,0.795136082,6,82,18,12
controls_seq188_[chrX:137793421-137793591],5.744638316,0.45239518,0.613323542,6,99,18,12
controls_seq189_[chrX:137793421-137793591],3.572525285,0.734296855,0.830996951,6,99,18,12
controls_seq19_[chr13:28319106-28319276],80.7749374,2.47E-15,5.72E-14,6,95,18,12
controls_seq190_[chrX:137793434-137793604],14.49103788,0.024606981,0.070110158,6,99,18,12
controls_seq191_[chr21:17828743-17828913],3.089187186,0.797572558,0.875096085,6,82,18,12
controls_seq192_[chrN2pos:1-171],6.448411682,0.374874876,0.540111774,6,63,18,12
controls_seq193_[chrctrl42:1-171],7.741617926,0.257650783,0.416553549,6,87,18,12
controls_seq194_[chrN2neg:1-171],8.841634467,0.18268228,0.328654782,6,74,18,12
controls_seq2_[chr1:51165930-51166100],1.278581844,0.972825579,0.98292323,6,84,18,12
controls_seq20_[chr13:43167332-43167502],5.796125288,0.446411584,0.606717595,6,74,18,12
controls_seq21_[chr13:43167713-43167883],17.52862452,0.007524754,0.025536234,6,61,18,12
controls_seq22_[chr13:72334077-72334247],4.218320577,0.647158479,0.772414958,6,78,18,12
controls_seq23_[chr13:95358951-95359121],2.983487575,0.810916447,0.883210263,6,86,18,12
controls_seq24_[chr14:29859574-29859744],17.5530404,0.007451856,0.025353442,6,71,18,12
controls_seq25_[chr14:36912020-36912190],25.05400805,0.000333681,0.001736184,6,88,18,12
controls_seq26_[chr14:36974105-36974275],2.177994044,0.90262212,0.938530762,6,69,18,12
controls_seq27_[chr14:57322888-57323058],12.07486435,0.060319361,0.143218161,6,99,18,12
controls_seq28_[chr15:31598909-31599079],27.89045355,9.85E-05,0.000587228,6,98,18,12
controls_seq29_[chr15:40384290-40384460],4.644152647,0.590193123,0.724691286,6,90,18,12
controls_seq3_[chr1:62054477-62054647],16.69655254,0.0104656,0.034083569,6,90,18,12
controls_seq30_[chr16:49736165-49736335],11.94160116,0.063284363,0.148275764,6,99,18,12
controls_seq31_[chr16:51671103-51671273],19.88508465,0.002902867,0.011405956,6,78,18,12
controls_seq32_[chr16:61058257-61058427],3.679516314,0.719952647,0.818938451,6,86,18,12
controls_seq33_[chr17:32078040-32078210],1.969947059,0.922441698,0.951368441,6,92,18,12
controls_seq34_[chr18:23045537-23045707],4.847959236,0.563456357,0.70405616,6,73,18,12
controls_seq35_[chr18:42324276-42324446],7.976176529,0.239853877,0.397864712,6,95,18,12
controls_seq36_[chr18:49573352-49573522],14.17611144,0.02772959,0.077352491,6,79,18,12
controls_seq37_[chr18:53019259-53019429],19.52712093,0.003360114,0.012935468,6,75,18,12
controls_seq38_[chr2:5550046-5550216],2.339705209,0.885958225,0.929596543,6,88,18,12
controls_seq39_[chr2:8782592-8782762],12.12340749,0.059271685,0.141360581,6,87,18,12
controls_seq4_[chr1:91307093-91307263],10.9390441,0.090278717,0.196488972,6,99,18,12
controls_seq40_[chr2:60353097-60353267],2.81230461,0.832008989,0.895992327,6,72,18,12
controls_seq41_[chr2:66764265-66764435],5.090425581,0.532268852,0.679752744,6,86,18,12
controls_seq42_[chr2:103909720-103909890],14.29659448,0.026492931,0.074370041,6,94,18,12
controls_seq43_[chr2:121832868-121833038],9.373737291,0.153624541,0.290252323,6,83,18,12
controls_seq44_[chr2:151184378-151184548],18.64010196,0.004816657,0.017434203,6,85,18,12
controls_seq46_[chr2:174989094-174989264],7.022358374,0.31878446,0.481976051,6,64,18,12
