,T00h,T03h,T06h,T12h,T24h,T48h,T72h
controls_seq1_[chr1:33829580-33829750],1.834822059,1.88547741,2.061258683,1.827504997,1.885065374,1.980691401,1.822238067
controls_seq10_[chr10:119590476-119590646],1.639679395,1.552743295,1.983671203,1.614937468,1.596502765,1.24572993,1.315539215
controls_seq100_[chr9:84264438-84264608],1.561117912,1.576357951,1.71363741,1.832962166,1.531007263,1.29009443,1.456532521
controls_seq101_[chr9:84266027-84266197],1.7168607,1.582246277,1.814711737,1.673056722,1.506785927,1.398595292,1.353072598
controls_seq102_[chr9:92292937-92293107],1.557247091,1.583370531,1.815561294,1.512142949,1.324863963,1.250230116,1.171167409
controls_seq103_[chr9:98258408-98258578],1.520312652,1.643224432,1.765535743,1.547881134,1.553283136,1.503352675,1.372357435
controls_seq104_[chr9:133540972-133541142],1.754473635,1.702802453,1.884510859,1.801305639,1.569437571,1.530905157,1.30064644
controls_seq105_[chrX:25017670-25017840],1.684885446,1.647837841,1.735373634,1.701107856,1.64605591,1.34310956,1.369912378
controls_seq106_[chrX:150408354-150408524],2.181446482,1.858403339,2.16417009,2.041118996,1.827112297,1.486205578,1.763039538
controls_seq107_[chr1:66733418-66733588],1.573577789,1.668719307,1.861576273,1.747738786,1.513012388,1.292662164,1.231894979
controls_seq108_[chr1:159898949-159899119],1.518663326,1.446606448,1.606039941,1.606375114,1.436886719,1.359815982,1.334253107
controls_seq109_[chr1:188148829-188148999],1.677543147,2.11929807,2.124780738,1.802463794,1.799995642,1.434220079,1.253627308
controls_seq11_[chr10:130832402-130832572],1.610833271,1.666847431,1.899705463,1.460859458,1.447079797,1.424508928,1.295217907
controls_seq110_[chr2:30607896-30608066],1.673715105,1.740439353,1.592320998,1.494892504,1.624041422,1.470967519,1.361536595
controls_seq111_[chr2:49417020-49417190],1.675773544,1.713691935,1.782773466,1.599690189,1.515221893,1.355150295,1.515289054
controls_seq112_[chr2:97532825-97532995],2.184889248,2.308396147,2.322074543,2.098464522,2.036408452,1.875843791,1.637045458
controls_seq113_[chr2:124865922-124866092],1.628608005,1.56695764,1.899932955,1.51830842,1.630591275,1.408950814,1.32294761
controls_seq114_[chr2:168155199-168155369],1.474611692,1.253366083,1.661456213,1.582959463,1.416840104,1.394127062,1.27734102
controls_seq115_[chr2:238336578-238336748],1.623021317,1.586802031,1.846218427,1.64050589,1.428358693,1.417719243,1.227876831
controls_seq116_[chr3:82377950-82378120],1.537282045,1.675913254,1.760814954,1.885502271,1.454873991,1.192329435,1.243811159
controls_seq117_[chr3:117245378-117245548],1.740475537,1.692520572,2.088225205,1.698976215,1.81921436,1.529904243,1.303902536
